priority_rank,ebird_species_code,scientific_name,japanese_name,frequency_annual_mean,total_recordings
231,bonpet,Pterodroma hypoleuca,シロハラミズナギドリ,0.0021201729166666,50
232,ryurob2,Larvivora komadori,アカヒゲ,0.0021137020833333,108
233,blawoo1,Dryocopus martius,クマゲラ,0.0020842833333333,4798
234,mouhae1,Nisaetus nipalensis,クマタカ,0.0020641729166666,104
235,redcro,Loxia curvirostra,イスカ,0.0020538208333333,6517
236,eursta,Sturnus vulgaris,ホシムクドリ,0.0020146083333333,6937
237,spored,Tringa erythropus,ツルシギ,0.0019955854166666,514
238,renpha,Phalaropus lobatus,アカエリヒレアシシギ,0.0019681875,176
239,litbun,Emberiza pusilla,コホオアカ,0.0019404895833333,480
240,comcra,Grus grus,クロヅル,0.0019291145833333,2990
241,pacloo,Gavia pacifica,シロエリオオハム,0.0018880645833333,93
242,daujac1,Corvus dauuricus,コクマルガラス,0.0018735770833333,63
243,retpip,Anthus cervinus,ムネアカタヒバリ,0.0018600291666666,716
244,dasfly,Muscicapa sibirica,サメビタキ,0.0018480041666666,68
245,ijlwar1,Phylloscopus ijimae,イイジマムシクイ,0.0018336958333333,87
246,nohcuc1,Hierococcyx hyperythrus,ジュウイチ,0.0018185020833333,64
247,yelbun1,Emberiza sulphurata,ノジコ,0.0018072041666666,96
248,margra1,Locustella pryeri,オオセッカ,0.0017513104166666,146
249,brant,Branta bernicla,コクガン,0.00174574375,420
250,loeowl,Asio otus,トラフズク,0.0017258645833333,4730
251,blnter1,Sterna sumatrana,エリグロアジサシ,0.0017144729166666,92
252,merlin,Falco columbarius,コチョウゲンボウ,0.0017137395833333,958
253,sancra,Antigone canadensis,カナダヅル,0.0016963895833333,2116
254,rinphe1,Phasianus colchicus,タイリクキジ,0.00168155,1519
255,sooshe,Ardenna grisea,ハイイロミズナギドリ,0.0016614458333333,66
256,pomjae,Stercorarius pomarinus,トウゾクカモメ,0.0016467083333333,60
257,norful,Fulmarus glacialis,フルマカモメ,0.0016434624999999,106
258,yebwar3,Phylloscopus inornatus,キマユムシクイ,0.0016341,1247
259,redpol1,Acanthis flammea,ベニヒワ,0.0016235041666666,1132
260,redkno,Calidris canutus,コオバシギ,0.0015764875,283
261,refboo,Sula sula,アカアシカツオドリ,0.0015762770833333,179
262,ocrbun1,Emberiza yessoensis,コジュリン,0.0015533145833333,102
263,alpacc1,Prunella collaris,イワヒバリ,0.0015370916666666,249
264,arcloo,Gavia arctica,オオハム,0.0015340645833333,148
265,oripra,Glareola maldivarum,ツバメチドリ,0.0015029854166666,247
266,dusthr1,Turdus naumanni,ハチジョウツグミ,0.0014922729166666,57
267,eurhob,Falco subbuteo,チゴハヤブサ,0.0014895395833333,542
268,rocpta1,Lagopus muta,ライチョウ,0.0014692354166666,118
269,lobdow,Limnodromus scolopaceus,オオハシシギ,0.0014670333333333,147
270,crseag1,Spilornis cheela,カンムリワシ,0.0014272770833333,523
271,narfly3,Ficedula owstoni,リュウキュウキビタキ,0.0013951645833333,59
272,brbsan,Calidris falcinellus,キリアイ,0.0013720937499999,136
273,bohwax,Bombycilla garrulus,キレンジャク,0.0013708104166666,930
274,purher1,Ardea purpurea,ムラサキサギ,0.00136108125,521
275,piggui,Cepphus columba,ウミバト,0.00135525,261
276,rebfly,Ficedula parva,ニシオジロビタキ,0.0013344749999999,1536
277,cinbit1,Ixobrychus cinnamomeus,リュウキュウヨシゴイ,0.00131831875,133
278,duswar,Phylloscopus fuscatus,ムジセッカ,0.0012994229166666,800
279,commur,Uria aalge,ウミガラス,0.0012667375,155
280,cacgoo1,Branta hutchinsii,シジュウカラガン,0.0012470416666666,295
281,brnnod,Anous stolidus,クロアジサシ,0.0012009770833333,131
282,pieavo1,Recurvirostra avosetta,ソリハシセイタカシギ,0.0011851541666666,631
283,jasowl1,Otus semitorques,オオコノハズク,0.0011842708333333,79
284,mugfly,Ficedula mugimaki,ムギマキ,0.0011368270833333,127
285,chpher1,Ardeola bacchus,アカガシラサギ,0.0011238625,63
286,flfshe,Ardenna carneipes,アカアシミズナギドリ,0.0010847645833333,100
287,chptit1,Remiz consobrinus,ツリスガラ,0.0010838395833333,150
288,compea,Pavo cristatus,インドクジャク,0.0010562708333333,455
289,sibthr1,Geokichla sibirica,マミジロ,0.0010537166666666,71
290,ferduc,Aythya nyroca,メジロガモ,0.0010034125,57
291,lanwar,Locustella lanceolata,マキノセンニュウ,0.0009521541666666,203
292,sheowl,Asio flammeus,コミミズク,0.0009430625,419
293,grynig1,Caprimulgus jotaka,ヨタカ,0.0009097229166666,225
294,corplo,Charadrius hiaticula,ハジロコチドリ,0.0008630395833333,1194
295,whblau1,Pterorhinus sannio,カオジロガビチョウ,0.0008628916666666,132
296,dollar1,Eurystomus orientalis,ブッポウソウ,0.00086013125,192
297,grpsni1,Rostratula benghalensis,タマシギ,0.0008570520833333,227
298,lotjae,Stercorarius longicaudus,シロハラトウゾクカモメ,0.0008546354166666,113
299,lwfgoo,Anser erythropus,カリガネ,0.00084770625,51
300,plewar1,Locustella pleskei,ウチヤマセンニュウ,0.0008441791666666,93
301,emedov2,Chalcophaps indica,キンバト,0.0008430708333333,151
302,maslau1,Pterorhinus perspicillatus,カオグロガビチョウ,0.0008332416666666,209
303,snogoo,Anser caerulescens,ハクガン,0.0008208583333333,370
304,roster,Sterna dougallii,ベニアジサシ,0.0008034479166666,222
305,parjae,Stercorarius parasiticus,クロトウゾクカモメ,0.0007980541666666,168
306,yebbun1,Emberiza chrysophrys,キマユホオジロ,0.0007892875,149
307,lcspet,Hydrobates leucorhous,コシジロウミツバメ,0.0007835249999999,253
308,sibcra1,Leucogeranus leucogeranus,ソデグロヅル,0.0007815291666666,69
309,bkfbun1,Emberiza spodocephala,シベリアアオジ,0.0007786625,326
310,redpha1,Phalaropus fulicarius,ハイイロヒレアシシギ,0.00073330625,120
311,commyn,Acridotheres tristis,インドハッカ,0.0007247125,964
312,leaauk,Aethia pusilla,コウミスズメ,0.0007074583333333,62
313,hazgro1,Tetrastes bonasia,エゾライチョウ,0.0006892458333333,568
314,tribun1,Emberiza tristrami,シロハラホオジロ,0.0006596541666666,157
315,pingro,Pinicola enucleator,ギンザンマシコ,0.0006593833333333,576
316,grebit1,Botaurus stellaris,サンカノゴイ,0.0006412291666666,1606
317,hoopoe,Upupa epops,ヤツガシラ,0.0006309166666666,930
318,rolhaw,Buteo lagopus,ケアシノスリ,0.0006285104166666,114
319,litsti,Calidris minuta,ヨーロッパトウネン,0.0006111229166666,164
320,yebgro1,Eophona migratoria,コイカル,0.0005995124999999,216
321,sooter1,Onychoprion fuscatus,セグロアジサシ,0.00059555625,258
322,barbut1,Turnix suscitator,ミフウズラ,0.0005859020833333,229
323,rinduc,Aythya collaris,クビワキンクロ,0.0005835833333333,516
324,cursan,Calidris ferruginea,サルハマシギ,0.00055701875,200
325,manher1,Gorsachius melanolophus,ズグロミゾゴイ,0.0005527708333333,138
326,grcter1,Thalasseus bergii,オオアジサシ,0.0005460125,365
327,swagoo1,Anser cygnoid,サカツラガン,0.00054004375,64
328,whssta2,Sturnia sinensis,カラムクドリ,0.00053885625,67
329,leswoo1,Dryobates minor,コアカゲラ,0.0005347958333333,1391
330,rebsta1,Spodiopsar sericeus,ギンムクドリ,0.00052151875,131
331,ricpip1,Anthus richardi,マミジロタヒバリ,0.0005023833333333,569
332,pinbun,Emberiza leucocephalos,シラガホオジロ,0.00050179375,180
333,masboo,Sula dactylatra,アオツラカツオドリ,0.0004957791666666,90
334,blkswa,Cygnus atratus,コクチョウ,0.0004790583333333,253
335,goleag,Aquila chrysaetos,イヌワシ,0.0004766270833333,171
336,pecsan,Calidris melanotos,アメリカウズラシギ,0.0004584520833333,170
337,japqua,Coturnix japonica,ウズラ,0.0004487437499999,114
