priority_rank,ebird_species_code,scientific_name,japanese_name,frequency_annual_mean,total_recordings
501,bkrwax,Estrilda troglodytes,カエデチョウ,0.0,63
502,wilpha,Phalaropus tricolor,アメリカヒレアシシギ,0.0,178
503,houspa,Passer domesticus,イエスズメ,0.0,11701
504,hoomer,Lophodytes cucullatus,オウギアイサ,0.0,606
505,hudgod,Limosa haemastica,アメリカオグロシギ,0.0,176
506,piebus1,Saxicola caprata,クロノビタキ,0.0,159
507,placuc1,Cacomantis merulinus,ヒメカッコウ,0.0,416
508,pifshe,Ardenna creatopus,シロハラアカアシミズナギドリ,0.0,73
509,plured1,Phoenicurus fuliginosus,カワビタキ,0.0,331
510,rabeat1,Merops ornatus,ハチクイ,0.0,139
511,palsan1,Syrrhaptes paradoxus,サケイ,0.0,76
512,piesti1,Himantopus leucocephalus,オーストラリアセイタカシギ,0.0,78
513,ortbun1,Emberiza hortulana,ズアオホオジロ,0.0,1999
514,larhac2,Hierococcyx sparverioides,オオジュウイチ,0.0,344
515,lescou1,Centropus bengalensis,バンケン,0.0,137
516,lesmaw1,Ploceus intermedius,メンハタオリドリ,0.0,79
517,leskes1,Falco naumanni,ヒメチョウゲンボウ,0.0,202
518,litbus1,Tetrax tetrax,ヒメノガン,0.0,112
519,orhthr1,Geokichla citrina,オレンジジツグミ,0.0,894
520,lecter2,Thalasseus bengalensis,ベンガルアジサシ,0.0,107
521,monpar,Myiopsitta monachus,オキナインコ,0.0,972
522,lotkoe1,Urodynamis taitensis,キジカッコウ,0.0,184
523,orcwax,Estrilda melpoda,ホオアカカエデチョウ,0.0,140
524,babcra1,Zapornia paykullii,コウライクイナ,0.0,59
525,bahgoo,Anser indicus,インドガン,0.0,79
526,azutit2,Cyanistes cyanus,ルリガラ,0.0,146
527,bknsti,Himantopus mexicanus,クロエリセイタカシギ,0.0,306
528,bkbkin1,Ceyx erithaca,ミツユビカワセミ,0.0,73
529,banmyn1,Acridotheres ginginianus,ハイイロハッカ,0.0,86
530,bcfdov1,Ptilinopus leclancheri,クロアゴヒメアオバト,0.0,87
531,whiter,Gygis alba,シロアジサシ,0.0,55
532,whiauk,Aethia pygmaea,シラヒゲウミスズメ,0.0,110
533,rebpar4,Psittacula alexandri,ダルマインコ,0.0,138
534,redhea,Aythya americana,アメリカホシハジロ,0.0,192
535,buwtea,Spatula discors,ミカヅキシマアジ,0.0,139
536,btbeat1,Merops philippinus,ルリオハチクイ,0.0,124
537,corcra,Crex crex,ウズラクイナ,0.0,2397
538,comcha,Fringilla coelebs,ズアオアトリ,0.0,17664
539,comloo,Gavia immer,ハシグロアビ,0.0,1118
540,rubwoo1,Dendrocopos hyperythrus,チャバラアカゲラ,0.0,108
541,rtrthr1,Monticola saxatilis,コシジロイソヒヨドリ,0.0,138
542,scathr8,Zoothera dauma,ミナミトラツグミ,0.0,53
543,runher1,Nycticorax caledonicus,ハシブトゴイ,0.0,68
544,eurjac,Corvus monedula,ニシコクマルガラス,0.0,2854
545,rospip1,Anthus roseatus,ウスベニタヒバリ,0.0,111
546,reccar,Paroaria coronata,コウカンチョウ,0.0,180
547,gyhbun1,Emberiza buchanani,イワバホオジロ,0.0,132
548,gycthr,Catharus minimus,ハイイロチャツグミ,0.0,261
549,formag1,Urocissa caerulea,ヤマムスメ,0.0,106
550,foxspa,Passerella iliaca,ゴマフスズメ,0.0,1040
551,redbis,Euplectes orix,オオキンランチョウ,0.0,152
552,sonspa,Melospiza melodia,ウタスズメ,0.0,2487
553,blnmon1,Hypothymis azurea,クロエリヒタキ,0.0,524
554,stodov1,Columba oenas,ヒメモリバト,0.0,626
555,slbrai1,Lewinia striata,ミナミクイナ,0.0,259
556,snoowl1,Bubo scandiacus,シロフクロウ,0.0,66
557,sposan,Actitis macularius,アメリカイソシギ,0.0,584
558,bongul,Chroicocephalus philadelphia,ボナパルトカモメ,0.0,129
559,taibap1,Bambusicola sonorivox,テッケイ,0.0,109
560,thbwar1,Arundinax aedon,ハシブトオオヨシキリ,0.0,207
561,whbcra1,Poliolimnas cinereus,マミジロクイナ,0.0,260
562,wehpit1,Pitta sordida,ズグロヤイロチョウ,0.0,210
563,whbwoo4,Artamus leucorynchus,モリツバメ,0.0,275
564,whbwoo2,Dryocopus javensis,キタタキ,0.0,171
565,yellow2,Emberiza citrinella,キアオジ,0.0,5409
566,alepar2,Psittacula eupatria,オオホンセイインコ,0.0,303
