species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
bkfbun2,ml:620881189,12,8,1.08,1.05,8.64,36.44
bkfbun2,ml:618704340,52,11,2.645,2.85,29.1,33.7
bkfbun2,ml:634320120,15,9,3.916,2.89,35.24,39.61
bkfbun2,ml:637612944,22,6,3.622,3.5,21.73,23.29
bkfbun2,ml:624172439,66,65,0.058,0.05,3.76,45.17
bkfbun2,ml:640507369,35,19,4.541,4.72,86.27,90.55
bkfbun2,ml:620266782,32,9,1.348,0.86,12.13,16.89
bkfbun2,ml:634079834,60,11,2.28,0.4,25.08,35.72
bkfbun2,ml:620266783,47,9,2.079,2.23,18.71,28.85
bkfbun2,ml:618203252,13,4,3.53,3.77,14.12,15.62
bkfbun2,ml:643676710,111,36,3.42,2.215,123.11,137.89
bkfbun2,ml:638925272,17,7,0.773,0.26,5.41,12.76
bkfbun2,ml:644573777,57,12,1.094,0.47,13.13,19.97
bkfbun2,ml:635667093,15,7,0.749,0.86,5.24,12.39
bkfbun2,ml:640988362,47,8,2.45,1.655,19.6,23.97
bkfbun2,ml:640507294,1,2,4.45,4.45,8.9,8.94
bkfbun2,ml:460115891,99,15,2.345,1.52,35.17,39.09
bkfbun2,ml:637812780,37,8,2.268,2.35,18.14,25.28
bkfbun2,ml:148116611,39,17,0.929,0.26,15.79,30.43
bkfbun2,ml:644010084,14,2,3.865,3.865,7.73,8.41
bkhgul,xc:580794,85,38,2.426,0.965,92.18,128.68
bkhgul,xc:752720,78,14,3.24,3.45,45.36,49.48
bkhgul,xc:1065402,16,2,4.785,4.785,9.57,10.67
bkhgul,xc:1050112,3,3,3.007,0.53,9.02,9.27
bkhgul,xc:525320,12,8,1.276,1.245,10.21,17.05
bkhgul,xc:636478,5,13,5.714,8.0,74.28,75.24
bkhgul,xc:1011216,14,6,4.02,4.09,24.12,25.67
bkhgul,xc:984595,6,4,0.405,0.41,1.62,9.17
bkhgul,xc:854813,35,7,3.26,2.44,22.82,26.42
bkhgul,xc:484460,71,19,3.382,1.23,64.25,68.84
bkhgul,xc:434997,3,4,3.642,3.21,14.57,14.95
bkhgul,xc:539616,29,10,2.884,2.645,28.84,30.54
bkhgul,xc:441030,932,270,2.086,1.16,563.27,748.81
bkhgul,xc:943182,24,9,1.082,0.5,9.74,19.95
bkhgul,xc:946675,22,19,0.284,0.24,5.39,27.63
bkhgul,xc:655838,2,5,7.22,8.0,36.1,37.17
bkhgul,xc:735929,29,13,0.794,0.44,10.32,18.02
bkhgul,xc:615791,79,24,3.765,3.725,90.36,99.01
bkhgul,xc:777784,19,3,3.847,2.91,11.54,13.2
bkhgul,xc:94182,11,9,0.303,0.21,2.73,9.34
bktgul,xc:627390,74,20,2.737,2.15,54.74,60.01
bktgul,xc:903942,7,1,5.44,5.44,5.44,5.71
bktgul,xc:1016634,26,9,2.767,1.57,24.9,27.3
bktgul,xc:344933,23,20,0.388,0.355,7.76,38.72
bktgul,xc:344932,7,6,0.467,0.47,2.8,12.0
bktgul,xc:464604,209,35,2.945,2.21,103.09,123.56
bktgul,xc:286306,1,2,4.505,4.505,9.01,9.33
bktgul,xc:1008519,179,36,3.408,3.295,122.68,132.75
bktgul,xc:266263,14,6,0.815,0.49,4.89,10.01
bktgul,xc:839073,72,43,0.632,0.45,27.17,68.0
bktgul,xc:991489,17,2,2.53,2.53,5.06,6.53
bktgul,xc:344913,6,3,4.0,2.92,12.0,12.31
bktgul,xc:1002546,29,26,0.313,0.31,8.13,39.95
bktgul,xc:840768,166,62,2.005,0.945,124.33,165.03
bktgul,xc:840767,85,32,1.592,0.58,50.95,98.24
bktgul,xc:255478,1,1,8.0,8.0,8.0,8.13
bktgul,xc:892290,36,18,0.532,0.185,9.57,28.81
bktgul,xc:286305,29,8,3.846,3.59,30.77,33.1
bktgul,xc:90299,1,2,4.435,4.435,8.87,9.07
bktgul,xc:787497,3,4,4.208,4.39,16.83,17.28
blakit1,xc:493737,126,44,1.43,0.735,62.94,99.77
blakit1,xc:507829,3,1,4.11,4.11,4.11,4.15
blakit1,xc:628280,9,5,1.128,1.18,5.64,13.51
blakit1,xc:1026906,104,36,1.766,0.515,63.58,91.85
blakit1,xc:896543,4,1,2.03,2.03,2.03,2.57
blakit1,xc:1016360,3,3,0.29,0.19,0.87,5.7
blakit1,xc:120438,6,2,2.12,2.12,4.24,6.03
blakit1,xc:309401,39,20,3.836,4.16,76.71,85.41
blakit1,xc:796458,11,2,2.99,2.99,5.98,6.93
blakit1,xc:994804,7,6,0.152,0.12,0.91,7.41
blakit1,xc:139768,128,39,3.166,3.15,123.49,150.79
blakit1,xc:578427,50,20,1.701,0.48,34.02,55.59
blakit1,xc:495129,23,11,2.312,2.06,25.43,42.3
blakit1,xc:896545,1,2,4.15,4.15,8.3,8.34
blakit1,xc:192707,43,24,0.978,0.49,23.46,53.75
blakit1,xc:807584,51,24,0.514,0.14,12.33,44.4
blakit1,xc:993943,13,5,1.004,1.39,5.02,10.01
blakit1,xc:994865,58,13,1.392,0.77,18.09,29.46
blakit1,xc:138441,23,6,1.987,1.895,11.92,19.36
blakit1,xc:986303,16,3,2.26,0.91,6.78,10.01
brebul1,xc:155867,68,14,2.788,2.46,39.03,44.57
brebul1,xc:551619,22,4,4.255,4.83,17.02,19.64
brebul1,xc:466085,3,2,1.73,1.73,3.46,4.98
brebul1,xc:200439,183,51,2.464,1.63,125.67,158.67
brebul1,xc:784921,31,7,2.074,0.98,14.52,19.53
brebul1,xc:193713,1,2,4.73,4.73,9.46,9.5
brebul1,xc:891338,27,3,3.223,2.37,9.67,11.27
brebul1,xc:464610,44,16,1.904,0.68,30.47,43.58
