recording_id,ebird_species_code,n_segments,total_duration_sec
xc:395043,skylar,152,195.04
xc:288761,skylar,3,67.88
xc:812075,skylar,7,23.47
xc:138228,skylar,45,17.42
xc:439200,skylar,77,49.34
xc:35949,skylar,3,45.7
xc:718610,skylar,73,111.19
xc:803917,spbduc,34,11.23
xc:992583,spbduc,200,37.99
xc:920581,spbduc,62,8.04
xc:266814,spbduc,10,3.59
xc:414277,spbduc,144,88.23
xc:414280,spbduc,94,74.25
xc:266815,spbduc,54,15.94
xc:858061,spbduc,18,70.68
xc:266817,spbduc,8,1.81
xc:835962,spbduc,14,24.49
xc:858060,spbduc,10,82.11
xc:266818,spbduc,17,3.88
xc:21569,spbduc,14,3.57
xc:842810,spbduc,22,5.83
xc:841268,spbduc,143,25.59
xc:581286,spbduc,17,8.82
xc:858062,spbduc,24,12.08
xc:286056,spbduc,3,10.01
xc:854546,spbduc,123,31.5
xc:266813,spbduc,50,10.61
xc:280915,tufduc,1,23.93
xc:76445,tufduc,4,8.04
xc:792843,tufduc,30,12.38
xc:488129,tufduc,4,1.17
xc:810555,tufduc,34,12.21
xc:996042,tufduc,24,5.21
xc:538154,tufduc,13,15.55
xc:417298,tufduc,20,8.51
xc:243766,tufduc,5,9.2
xc:763788,tufduc,5,18.24
xc:587228,tufduc,52,31.4
xc:706888,tufduc,7,42.34
xc:468384,tufduc,14,36.98
xc:992786,tufduc,121,23.72
xc:487847,tufduc,272,78.62
xc:488130,tufduc,3,1.37
xc:530275,tufduc,23,28.39
xc:796658,tufduc,29,6.59
xc:632557,tufduc,151,32.68
xc:488112,tufduc,4384,988.38
xc:882175,vartit1,127,28.06
xc:998735,vartit1,46,24.76
xc:790852,vartit1,16,19.29
xc:871190,vartit1,107,54.28
xc:843770,vartit1,29,17.45
xc:49797,vartit1,44,21.09
xc:856683,vartit1,40,18.24
xc:194395,vartit1,29,17.27
xc:890241,vartit1,16,2.42
xc:856671,vartit1,105,25.01
xc:578821,vartit1,29,14.37
xc:841031,vartit1,8,5.59
xc:266117,vartit1,9,7.02
xc:841029,vartit1,14,7.09
xc:202775,vartit1,28,14.56
xc:641399,vartit1,64,38.76
xc:175791,vartit1,15,46.08
xc:332820,vartit1,30,44.35
xc:414992,vartit1,93,47.87
xc:724706,vartit1,41,15.08
xc:69779,warwhe1,17,10.79
xc:155881,warwhe1,96,48.93
xc:617434,warwhe1,185,98.52
xc:219961,warwhe1,82,39.62
xc:287972,warwhe1,95,67.43
xc:911176,warwhe1,319,605.06
xc:208165,warwhe1,1,15.53
xc:69778,warwhe1,80,50.08
xc:192982,warwhe1,103,19.71
xc:194291,warwhe1,26,13.13
xc:285915,warwhe1,62,24.42
xc:164815,warwhe1,51,19.98
xc:915201,warwhe1,47,20.14
xc:806913,warwhe1,482,537.68
xc:823077,warwhe1,14,32.35
xc:69777,warwhe1,9,5.57
xc:911225,warwhe1,21,79.16
xc:617441,warwhe1,63,10.69
xc:79215,warwhe1,22,4.82
xc:292566,warwhe1,24,16.57
xc:790703,whcsta1,260,91.3
xc:333014,whcsta1,63,16.0
xc:574136,whcsta1,29,8.25
xc:824056,whcsta1,35,13.16
xc:810042,whcsta1,9,1.02
xc:882612,whcsta1,117,38.92
xc:809875,whcsta1,269,50.47
xc:146051,whcsta1,144,28.97
xc:920580,whcsta1,19,5.77
xc:267611,whcsta1,26,10.24
xc:820836,whcsta1,7,0.84
xc:840780,whcsta1,100,33.38
xc:392765,whcsta1,23,24.65
xc:858065,whcsta1,14,15.86
xc:1027907,whcsta1,23,29.78
xc:915153,whcsta1,23,6.72
xc:915079,whcsta1,6,2.12
xc:712165,whcsta1,6,2.09
xc:779382,whcsta1,10,1.7
xc:113529,whcsta1,32,22.54
xc:212874,whiwag,28,13.08
xc:332116,whiwag,18,6.84
xc:944139,whiwag,55,11.9
xc:201954,whiwag,23,9.37
xc:617835,whiwag,10,2.4
xc:187183,whiwag,30,9.36
xc:753781,whiwag,2,0.65
xc:63088,whiwag,9,1.66
xc:67298,whiwag,160,26.23
xc:297867,whiwag,128,44.55
xc:458681,whiwag,113,61.94
xc:487300,whiwag,23,5.39
xc:665137,whiwag,17,7.06
xc:728228,whiwag,143,40.0
xc:552985,whiwag,9,3.18
xc:879928,whiwag,34,13.31
xc:759533,whiwag,16,4.35
xc:731463,whiwag,50,37.47
xc:861059,whiwag,217,228.9
xc:479290,whiwag,8,2.57
xc:476911,zitcis1,111,25.53
xc:753226,zitcis1,156,22.66
xc:301756,zitcis1,59,20.16
xc:359154,zitcis1,17,13.4
xc:1011812,zitcis1,23,31.06
xc:828633,zitcis1,70,21.9
xc:474374,zitcis1,12,1.23
xc:337541,zitcis1,132,19.2
xc:1027807,zitcis1,48,7.63
xc:195732,zitcis1,18,25.72
xc:714232,zitcis1,1,4.35
xc:1060751,zitcis1,2,0.12
xc:617351,zitcis1,1,13.11
xc:963907,zitcis1,21,19.74
xc:793914,zitcis1,11,1.25
xc:644123,zitcis1,69,23.18
xc:906062,zitcis1,30,5.66
xc:776863,zitcis1,31,5.69
xc:734272,zitcis1,12,2.1
xc:378257,zitcis1,2,8.41
