recording_id,ebird_species_code,n_segments,total_duration_sec,mean_segment_dur
xc:491232,meabun1,5,10.577,2.115
xc:1018429,meabun1,10,46.721,4.672
xc:282181,meabun1,5,11.346,2.269
xc:626398,meabun1,0,0.0,0.0
xc:733153,norpin,5,7.439,1.488
xc:972654,norpin,2,4.464,2.232
xc:971856,norpin,1,5.393,5.393
xc:615278,norpin,2,2.603,1.301
xc:463194,norpin,1,3.823,3.823
xc:974364,norsho,0,0.0,0.0
xc:712354,norsho,3,4.159,1.386
xc:501879,norsho,12,46.432,3.869
xc:617375,norsho,1,1.895,1.895
xc:586812,norsho,1,2.789,2.789
xc:286288,origre,1,2.873,2.873
xc:992580,origre,27,85.541,3.168
xc:451340,origre,11,18.097,1.645
xc:285949,origre,18,29.756,1.653
xc:872882,origre,14,26.56,1.897
xc:473070,ortdov,2,16.93,8.465
xc:751150,ortdov,8,26.224,3.278
xc:955876,ortdov,2,14.36,7.18
xc:657028,ortdov,2,12.446,6.223
xc:327475,ortdov,10,63.826,6.383
xc:511013,osprey,9,31.405,3.489
xc:465294,osprey,3,34.476,11.492
xc:694232,osprey,4,12.632,3.158
xc:272312,osprey,9,48.759,5.418
xc:588910,osprey,9,45.253,5.028
xc:758275,palthr1,0,0.0,0.0
xc:772404,palthr1,1,1.245,1.245
xc:707803,palthr1,24,96.819,4.034
xc:652386,palthr1,7,59.2,8.457
xc:780155,palthr1,0,0.0,0.0
xc:191044,pygwoo1,0,0.0,0.0
xc:267398,pygwoo1,2,7.651,3.825
xc:285634,pygwoo1,1,2.72,2.72
xc:267395,pygwoo1,1,3.201,3.201
xc:285907,pygwoo1,2,4.2,2.1
xc:349161,rocpig,8,23.805,2.976
xc:269761,rocpig,5,38.667,7.733
xc:488175,rocpig,5,23.355,4.671
xc:621266,rocpig,5,45.971,9.194
xc:380349,rocpig,3,5.518,1.839
xc:949909,skylar,4,16.718,4.18
xc:975229,skylar,9,66.36,7.373
xc:180733,skylar,6,57.456,9.576
xc:627311,skylar,16,161.727,10.108
xc:704675,skylar,1,13.891,13.891
xc:803917,spbduc,3,10.987,3.662
xc:992583,spbduc,6,11.4,1.9
xc:920581,spbduc,5,26.973,5.395
xc:266814,spbduc,1,2.548,2.548
xc:414277,spbduc,12,72.944,6.079
xc:280915,tufduc,0,0.0,0.0
xc:76445,tufduc,0,0.0,0.0
xc:792843,tufduc,2,14.864,7.432
xc:488129,tufduc,2,2.087,1.043
xc:810555,tufduc,3,5.634,1.878
xc:882175,vartit1,9,11.653,1.295
xc:998735,vartit1,10,27.639,2.764
xc:790852,vartit1,4,8.275,2.069
xc:871190,vartit1,9,18.437,2.049
xc:843770,vartit1,9,20.36,2.262
xc:69779,warwhe1,1,14.051,14.051
xc:155881,warwhe1,5,56.168,11.234
xc:617434,warwhe1,6,180.912,30.152
xc:219961,warwhe1,6,35.178,5.863
xc:287972,warwhe1,12,22.816,1.901
xc:790703,whcsta1,20,96.931,4.847
xc:333014,whcsta1,8,28.261,3.533
xc:574136,whcsta1,3,4.545,1.515
xc:824056,whcsta1,3,6.064,2.021
xc:810042,whcsta1,1,1.92,1.92
xc:212874,whiwag,7,14.118,2.017
xc:332116,whiwag,2,18.442,9.221
xc:944139,whiwag,0,0.0,0.0
xc:201954,whiwag,2,9.853,4.927
xc:617835,whiwag,2,4.243,2.122
xc:476911,zitcis1,3,50.248,16.749
xc:753226,zitcis1,4,20.621,5.155
xc:301756,zitcis1,2,16.895,8.448
xc:359154,zitcis1,3,6.766,2.255
xc:1011812,zitcis1,6,8.932,1.489
