recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:1042324,barswa,3,22,20.59,0.936,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_1042324_comparison.png
xc:1042324,barswa,4,11,1.051,0.096,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_1042324_comparison.png
xc:1042324,barswa,5,1,23.313,23.313,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_1042324_comparison.png
xc:677842,barswa,1,68,10.106,0.149,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_677842_comparison.png
xc:677842,barswa,2,83,10.275,0.124,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_677842_comparison.png
xc:677842,barswa,3,23,21.403,0.931,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_677842_comparison.png
xc:677842,barswa,4,63,7.361,0.117,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_677842_comparison.png
xc:677842,barswa,5,1,24.378,24.378,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_677842_comparison.png
xc:142731,barswa,1,111,35.167,0.317,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_142731_comparison.png
xc:142731,barswa,2,92,39.361,0.428,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_142731_comparison.png
xc:142731,barswa,3,49,40.975,0.836,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_142731_comparison.png
xc:142731,barswa,4,180,23.359,0.13,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_142731_comparison.png
xc:142731,barswa,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/barswa/xc_142731_comparison.png
ml:620881189,bkfbun2,1,18,5.393,0.3,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,2,37,7.088,0.192,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,3,37,31.176,0.843,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,4,11,2.711,0.246,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_620881189_comparison.png
ml:620881189,bkfbun2,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_620881189_comparison.png
ml:618704340,bkfbun2,1,73,15.348,0.21,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,2,80,14.878,0.186,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,3,38,27.353,0.72,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,4,4,0.261,0.065,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_618704340_comparison.png
ml:618704340,bkfbun2,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_618704340_comparison.png
ml:634320120,bkfbun2,1,44,5.952,0.135,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,2,89,16.917,0.19,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,3,45,32.304,0.718,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_634320120_comparison.png
ml:634320120,bkfbun2,4,53,5.467,0.103,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_634320120_comparison.png
