ml_asset_id,ebird_species_code,scientific_name,japanese_name,ml_rating,ml_rating_count,ml_location,ml_obs_date,ml_user,latitude,longitude,country,is_japan,catalog_number,priority_tier
103893801,whrmun,Lonchura striata,コシジロキンパラ,2.25,4,"Anjanpura, Bengaluru Urban, Karnataka, India",9 Jun 2018,Rahul  Singh,12.8502,77.5494,India,False,ML103893801,P2
107875101,whrmun,Lonchura striata,コシジロキンパラ,3.2,5,"Barkur Wetlands -- Bobbarya Temple, Udupi, Karnataka, India",18 Jul 2018,Ramit Singal,13.4785,74.7284,India,False,ML107875101,P2
108045,whrmun,Lonchura striata,コシジロキンパラ,1.5,4,"Yangmingshan National Park, Taipei City, Taiwan",2 Jan 2001,Wayne Hsu,0.0,0.0,Taiwan,False,ML108045,P2
111055251,whrmun,Lonchura striata,コシジロキンパラ,3.2,5,"五分埤段, 內溝溪, 內湖, 台北市, Taipei City, Taiwan",16 Aug 2018,ximentin chuang,25.0759,121.623,Taiwan,False,ML111055251,P2
112484821,whrmun,Lonchura striata,コシジロキンパラ,2.5,4,"Shanthi Nagar -- Laterite Patch, Udupi, Karnataka, India",27 Aug 2018,Arun Prabhu,13.3328,74.7943,India,False,ML112484821,P2
120599711,whrmun,Lonchura striata,コシジロキンパラ,4.5,2,"Moinhos Quinta, Leiria, Leiria, Portugal",30 Sep 2018,Paulo Domingues,39.8487,-8.9134,Portugal,False,ML120599711,P2
120921251,whrmun,Lonchura striata,コシジロキンパラ,3.25,4,"Veliyathunadu[Sub Cell-61,7,4], Ernakulam, Kerala, India",27 Oct 2018,Premchand Reghuvaran,10.138,76.3175,India,False,ML120921251,P2
120921271,whrmun,Lonchura striata,コシジロキンパラ,2.0,4,"Veliyathunadu[Sub Cell-61,7,4], Ernakulam, Kerala, India",27 Oct 2018,Premchand Reghuvaran,10.138,76.3175,India,False,ML120921271,P2
122114481,whrmun,Lonchura striata,コシジロキンパラ,3.5,4,"Shirali--Neerkanta, Uttara Kannada, Karnataka, India",5 Nov 2018,Vinay K L,14.023,74.536,India,False,ML122114481,P2
122114621,whrmun,Lonchura striata,コシジロキンパラ,2.0,4,"Shirali--Neerkanta, Uttara Kannada, Karnataka, India",5 Nov 2018,Vinay K L,14.023,74.536,India,False,ML122114621,P2
169228,whrmun,Lonchura striata,コシジロキンパラ,1.0,5,"Muong Nhe Nature Reserve, Vietnam",29 Mar 2011,Mark Robbins,22.386,102.238,Vietnam,False,ML169228,P2
175987211,whrmun,Lonchura striata,コシジロキンパラ,3.0,5,"Pathum Thani Rice Research Center (restricted range), Pathum Thani, Thailand",7 Sep 2019,Wich’yanan Limparungpatthanakij,14.0108,100.7273,Thailand,False,ML175987211,P2
176995731,whrmun,Lonchura striata,コシジロキンパラ,3.0,5,"A compound on Jinmei road, Shanghai, China",13 Sep 2019,Joye Zhou,31.1151,121.4071,China,False,ML176995731,P2
180853211,whrmun,Lonchura striata,コシジロキンパラ,3.2,5,"LS🏥, Ernakulam, Kerala, India",2 Oct 2019,Renju TR,9.9192,76.3186,India,False,ML180853211,P2
185176531,whrmun,Lonchura striata,コシジロキンパラ,3.8333333333333335,6,"Mysore City Bird Atlas 29C, Behind Yedahalli Village, Mysuru, Karnataka, India",26 Oct 2019,Sahana M,12.253,76.5882,India,False,ML185176531,P2
199471101,whrmun,Lonchura striata,コシジロキンパラ,2.0,3,"Lat Krabang--Thap Yao paddies & aquaculture ponds, Krung Thep Maha Nakhon [Bangkok], Thailand",8 Jan 2020,Sutanan Pinmaneenopparat,13.7416,100.8124,Thailand,False,ML199471101,P2
203971521,whrmun,Lonchura striata,コシジロキンパラ,2.6666666666666665,3,"Independence Palace, Sai Gon, Vietnam",24 Jan 2016,Nicholas Talbot,10.7763,106.6963,Vietnam,False,ML203971521,P2
215724851,whrmun,Lonchura striata,コシジロキンパラ,2.5,4,"Huben Bridge--BBSA3316-4, Yunlin County, Taiwan",15 Mar 2020,Scott (瑞興) LIN(林),23.7358,120.6009,Taiwan,False,ML215724851,P2
220534231,whrmun,Lonchura striata,コシジロキンパラ,3.6666666666666665,3,"Paddy fields near Ilayabhagavathy temple, Kanjikode, Kerala, IN, Palakkad, Kerala, India",3 Apr 2020,Vivek Sudhakaran,10.7956,76.7315,India,False,ML220534231,P2
224658531,whrmun,Lonchura striata,コシジロキンパラ,3.6666666666666665,3,"Near Our Residance, Nidahas Mawatha, Kalapaluwawa, Rajagiriya, Kaduwela, Colombo, Sri Lanka",18 Apr 2020,Ajith Gamage,6.9166,79.9143,Sri Lanka,False,ML224658531,P2
227057691,whrmun,Lonchura striata,コシジロキンパラ,3.3333333333333335,3,"Chikhalgaon birding area, Ratnagiri, Maharashtra, India",16 Jan 2013,Sharad Apte,17.666,73.1824,India,False,ML227057691,P2
