









Frequency of observations in the selected location(s).:
Number of taxa: 	873

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
ヒシクイ (<em class="sci">Anser serrirostris</em>)	0.0035114	0.0057749	0.003766	0.0039332	0.0036957	0.0040613	0.0045368	0.0029885	0.0036007	0.0038468	0.0036401	0.0014153	9.758E-4	0.0021502	0.0011219	0.0016744	5.608E-4	1.377E-4	1.458E-4	1.126E-4	1.739E-4	1.891E-4	2.058E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.901E-4	0.0026166	0.0015023	0.0040342	0.0050654	0.0057483	0.0100032	0.0067779	0.006127	0.0054561	0.0039089	0.0052805	0.0064425	0.0049902	0.0036053	0.0029884	0.0060332	
オオヒシクイ／ヒシクイ (<em class="sci">Anser fabalis/serrirostris</em>)	0.0015049	0.0021488	0.001345	0.0011512	0.0012744	4.641E-4	0.0017562	9.962E-4	1.637E-4	6.994E-4	5.2E-4	2.573E-4	6.505E-4	4.608E-4	2.805E-4	2.392E-4	2.804E-4	0.0	2.917E-4	0.0	0.0	3.782E-4	2.058E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.136E-4	0.0	2.373E-4	0.0013072	0.0012318	0.0019361	0.0024331	7.07E-4	6.995E-4	0.0011897	0.0021452	0.0010308	0.0017822	0.0013283	0.0011207	9.696E-4	
マガン属（家畜） (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.196E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.053E-4	0.0	0.0	0.0	0.0	0.0	0.0	1.288E-4	0.0	0.0	0.0	0.0	
マガン属 (<em class="sci">Anser sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.749E-4	0.0	0.0	3.253E-4	0.0	0.0	0.0	4.206E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.476E-4	1.178E-4	0.0	0.0	0.0	1.288E-4	0.0	0.0	0.0	0.0	
コクガン (<em class="sci">Branta bernicla</em>)	0.004013	0.004029	0.003497	0.0020146	0.0022939	0.0038292	0.0035124	0.0046962	0.0040917	0.0020983	0.0027734	0.00193	0.0014637	0.0010751	0.0012621	5.98E-4	8.412E-4	8.262E-4	1.458E-4	0.0015	0.0	1.891E-4	0.0	1.835E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.053E-4	3.227E-4	0.0010428	0.0016496	0.0033576	0.0039089	0.0061056	0.0063136	0.0033862	0.0028463	0.0046694	0.0031243	
シジュウカラガン (<em class="sci">Branta hutchinsii</em>)	0.0010033	0.0010744	9.415E-4	0.001439	0.0019116	9.283E-4	0.0013171	7.115E-4	3.273E-4	0.0013988	5.2E-4	7.72E-4	0.0015	0.0013823	0.0016828	4.784E-4	2.804E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.373E-4	0.0026144	0.0014371	0.0024201	0.0027807	0.00271	0.0044768	0.0032291	0.0044554	0.0046386	0.0060595	0.0026565	0.001681	0.0012928	
雑種 マガン ｘ シジュウカラガン (<em class="sci">Anser albifrons x Branta hutchinsii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	1.463E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.288E-4	0.0	3.795E-4	0.0	0.0	
カナダガン (<em class="sci">Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	1.196E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
アオガン (<em class="sci">Branta ruficollis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	1.463E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
コブハクチョウ (<em class="sci">Cygnus olor</em>)	0.0099072	0.0110126	0.0111634	0.01132	0.0109596	0.0113715	0.0115615	0.0118116	0.0119476	0.0104913	0.0098804	0.0126094	0.0115466	0.0116726	0.0085542	0.0080134	0.0065891	0.0061966	0.0070001	0.0070938	0.0079986	0.0086989	0.0045267	0.0066043	0.0048321	0.0061795	0.0094053	0.0062829	0.008149	0.0081255	0.0083195	0.0085535	0.0085633	0.008012	0.0083056	0.0093137	0.0078013	0.0067764	0.009211	0.0113114	0.0267208	0.0129164	0.0132013	0.0112099	0.0103368	0.0092979	0.0104595	0.0144365	
