









Frequency of observations in the selected location(s).:
Number of taxa: 	873

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
アマツバメ属 (<em class="sci">Apus/Tachymarptis sp.</em>)	2.508E-4	0.0	0.0	0.0	0.0	1.16E-4	1.463E-4	0.0	0.0	0.0	0.0	0.0015	3.253E-4	1.536E-4	2.805E-4	4.784E-4	2.804E-4	0.0	2.917E-4	1.126E-4	1.739E-4	3.782E-4	6.173E-4	3.669E-4	0.0	0.0	5.533E-4	0.0015	0.0	5.604E-4	8.319E-4	3.802E-4	2.379E-4	2.504E-4	7.119E-4	9.804E-4	8.212E-4	3.227E-4	1.738E-4	1.178E-4	1.399E-4	3.399E-4	0.0	0.0	0.0	0.0	1.868E-4	0.0	
アマツバメ科（小さい） (<em class="sci">Apodidae sp. (small swift sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.738E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
アマツバメ科 (<em class="sci">Apodidae sp.</em>)	0.0	1.343E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	1.402E-4	0.0	1.458E-4	0.0	6.955E-4	0.0015	2.058E-4	1.835E-4	0.0	0.0	0.0	0.0	2.91E-4	0.0	0.0	1.901E-4	0.0	0.0	0.0015	0.0015	2.053E-4	0.0	1.738E-4	1.178E-4	0.0	0.0	0.0	0.0	0.0015	0.0	1.868E-4	1.077E-4	
クイナ属（大きなクイナの種類） (<em class="sci">Rallus sp. (large Rallus sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.377E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
クイナ (<em class="sci">Rallus indicus</em>)	0.0160522	0.014773	0.0123739	0.0154451	0.0144004	0.0156649	0.0144885	0.013377	0.0152209	0.0106662	0.0107471	0.0070767	0.0074809	0.0055291	0.0047679	0.0050233	0.0025235	0.0026164	0.0014584	0.0010134	5.216E-4	0.0015129	0.0012346	0.0011007	0.0014496	0.0015	5.533E-4	8.107E-4	0.0020373	0.001401	5.546E-4	0.0011405	0.0011893	5.008E-4	7.119E-4	9.804E-4	0.0010265	0.0017748	0.0033021	0.0043596	0.006995	0.010537	0.0084158	0.0101791	0.0101586	0.0125237	0.0098991	0.0110967	
ヤンバルクイナ (<em class="sci">Gallirallus okinawae</em>)	0.0017557	0.0036261	0.0014795	0.0024942	0.002039	0.0022047	0.0071711	0.0032731	0.0022913	0.0045462	0.0041602	0.0032167	0.0030899	0.0016894	0.0057495	0.0059801	0.0039254	0.0095015	0.0131253	0.0091206	0.0090419	0.0066188	0.009465	0.007705	0.0021744	0.0042988	0.0063624	0.0026348	0.0017462	0.0016811	0.0058236	0.0041817	0.0066603	0.0065098	0.0033223	0.0035948	0.0026689	9.681E-4	0.0039972	0.0030635	0.0019586	5.099E-4	0.0021452	0.0048963	0.0010693	0.0018975	0.0039223	0.0025856	
バン (<em class="sci">Gallinula chloropus</em>)	0.0649611	0.0546602	0.0595831	0.0530507	0.0532688	0.0572058	0.0585394	0.0520848	0.0584288	0.0568281	0.0592824	0.0524961	0.0492763	0.0476117	0.0434722	0.049396	0.0417777	0.0373175	0.0326673	0.0276996	0.0234742	0.0253404	0.0273663	0.0278848	0.0333414	0.0343901	0.0320885	0.0308066	0.0349243	0.0423088	0.0432612	0.0370652	0.0287821	0.0277917	0.0374941	0.0439542	0.04496	0.0467893	0.0524852	0.0470131	0.0551203	0.053705	0.0483498	0.0552764	0.0586348	0.0516129	0.0556593	0.0556992	
バン／アメリカバン (<em class="sci">Gallinula chloropus/galeata</em>)	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
オオバン (<em class="sci">Fulica atra</em>)	0.3419865	0.3338705	0.3004707	0.2979662	0.2897923	0.285333	0.2764525	0.2783549	0.2944354	0.3077461	0.299012	0.3115028	0.2668727	0.2220857	0.1765531	0.1430451	0.1005187	0.0656844	0.0482718	0.0367076	0.0278212	0.0236384	0.0240741	0.0199963	0.0164291	0.0177324	0.0152144	0.0109445	0.0157159	0.0148501	0.0163616	0.0161566	0.0154615	0.0182774	0.0256289	0.0343137	0.050503	0.0779284	0.1108794	0.1532933	0.233352	0.2588375	0.2745875	0.3039557	0.3241846	0.3172676	0.3341427	0.343245	
セグロセイケイ (<em class="sci">Porphyrio indicus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.613E-4	3.476E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ツルクイナ (<em class="sci">Gallicrex cinerea</em>)	0.0	0.0	0.0	0.0	0.0	1.16E-4	0.0	0.0	0.0	0.0	0.0	0.0	3.253E-4	0.0	2.805E-4	1.196E-4	0.0	0.0	0.0	1.126E-4	3.478E-4	0.0	2.058E-4	0.0	0.0	0.0	0.0	0.0	0.0	2.802E-4	0.0	5.702E-4	0.0	0.0	2.373E-4	3.268E-4	0.0	3.227E-4	0.0	0.0	2.798E-4	1.7E-4	1.65E-4	1.288E-4	1.782E-4	0.0	0.0	0.0	
シロハラクイナ (<em class="sci">Amaurornis phoenicurus</em>)	0.0051417	0.0038947	0.0014795	7.675E-4	0.0030585	0.0013924	0.0023416	7.115E-4	0.0036007	0.0045462	0.0126538	0.008492	0.0084567	0.0082937	0.0051886	0.0082526	0.0044862	0.0045442	0.0067085	0.0069812	0.0034777	0.0032148	0.005144	0.0051367	0.0072481	0.0085975	0.0069156	0.0062829	0.0043655	0.0100869	0.0091514	0.0058924	0.0049952	0.0070105	0.008543	0.0031046	0.0016424	6.454E-4	0.0022593	0.0030635	0.001399	8.498E-4	0.0014851	0.001675	0.0044555	0.0024668	7.471E-4	0.0023702	
オオクイナ (<em class="sci">Rallina eurizonoides</em>)	3.762E-4	4.029E-4	0.0	0.0	1.274E-4	0.0	0.0	0.0	3.273E-4	0.0015	8.667E-4	0.001158	1.626E-4	7.679E-4	4.207E-4	9.568E-4	5.608E-4	0.0	2.917E-4	5.63E-4	1.739E-4	0.0	0.0	0.0011007	0.001208	0.001612	5.533E-4	0.0	0.0	2.802E-4	0.0	0.0	0.0	2.504E-4	7.119E-4	3.268E-4	0.0	0.0	0.0	3.535E-4	0.0	0.0	1.65E-4	0.0015	0.0	1.898E-4	0.0	1.077E-4	
ヒクイナ (<em class="sci">Zapornia fusca</em>)	0.0117883	0.0100725	0.0118359	0.0125672	0.0117242	0.0125319	0.0144885	0.0123808	0.0129296	0.0129393	0.0110938	0.0105507	0.0146365	0.0121333	0.0096761	0.007535	0.0075704	0.0075737	0.008896	0.0075442	0.0076508	0.0073752	0.0039095	0.0031187	0.0026576	0.0037614	0.004426	0.0038508	0.0052386	0.0039227	0.0033278	0.0043718	0.0042816	0.0047571	0.0049834	0.0039216	0.0078013	0.0054856	0.0060827	0.0062448	0.0068551	0.0066281	0.0067657	0.0067002	0.0083764	0.0075901	0.007471	0.0071105	
ヒメクイナ (<em class="sci">Zapornia pusilla</em>)	0.0	1.343E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	1.287E-4	0.0	0.0	0.0	0.0	2.804E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.613E-4	0.0015	2.357E-4	8.394E-4	1.7E-4	0.0	1.288E-4	0.0	1.898E-4	0.0	0.0	
シマクイナ (<em class="sci">Coturnicops exquisitus</em>)	2.508E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.178E-4	0.0	0.0	0.0	0.0015	1.782E-4	0.0	0.0	0.0	
クイナ亜科 (<em class="sci">Rallidae sp. (rail/crake sp.)</em>)	0.0	0.0	1.345E-4	9.59E-5	2.549E-4	1.16E-4	0.0	2.846E-4	0.0	0.0	3.467E-4	0.0	1.626E-4	1.536E-4	0.0	0.0	1.402E-4	0.0	0.0	1.126E-4	0.0	0.0	2.058E-4	0.0	0.0	2.687E-4	0.0	4.054E-4	0.0	0.0	0.0	0.0	0.0	5.008E-4	0.0015	0.0	4.106E-4	6.454E-4	1.738E-4	2.357E-4	2.798E-4	0.0	4.95E-4	3.865E-4	1.782E-4	0.0	0.0	1.077E-4	
ソデグロヅル (<em class="sci">Leucogeranus leucogeranus</em>)	0.0011287	0.0048348	0.002959	0.0023024	0.004078	0.0035971	0.0016098	0.0041269	0.0018003	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.739E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.802E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.178E-4	0.0	6.798E-4	9.901E-4	0.0011596	0.0021387	0.0013283	0.0013074	0.0014006	
カナダヅル (<em class="sci">Antigone canadensis</em>)	0.0026336	0.0096696	0.0080699	0.0052763	0.0064993	0.0085867	0.006732	0.0058346	0.001964	0.0022731	3.467E-4	3.86E-4	1.626E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.901E-4	2.379E-4	0.0	0.0	0.0	0.0	1.613E-4	0.0	2.357E-4	0.0012591	8.498E-4	0.0019802	0.0020616	0.003208	0.0041746	0.0041091	0.0045249	
マナヅル (<em class="sci">Antigone vipio</em>)	0.0072736	0.0236369	0.0238063	0.0149655	0.0186058	0.0212346	0.0144885	0.0157962	0.0050736	0.002448	8.667E-4	6.433E-4	0.0	0.0	1.402E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.835E-4	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	2.379E-4	0.0	2.373E-4	1.634E-4	0.0	8.067E-4	1.738E-4	3.535E-4	0.0026581	0.0030591	0.0037954	0.0083752	0.0076635	0.0108159	0.0117669	0.0138979	
アネハヅル (<em class="sci">Grus virgo</em>)	6.27E-4	0.0022831	0.0017485	0.0011512	0.0021664	0.0013924	5.854E-4	4.269E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	2.917E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.299E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.798E-4	1.7E-4	1.65E-4	7.731E-4	7.129E-4	9.488E-4	1.868E-4	7.541E-4	
タンチョウ (<em class="sci">Grus japonensis</em>)	0.0056433	0.0061778	0.0153329	0.0142939	0.0170766	0.0197262	0.0229767	0.0249039	0.0211129	0.0085679	0.0069336	0.0033453	0.0021142	0.0035325	0.0039265	0.0062194	0.0033646	0.003718	0.0043751	0.010697	0.0149539	0.015885	0.0127572	0.0091726	0.010389	0.0069855	0.0085754	0.0064856	0.0066938	0.0081255	0.005269	0.0102642	0.0061846	0.0035053	0.0040342	0.0045752	0.0045165	0.0090352	0.0072993	0.0073053	0.0078344	0.0056084	0.009736	0.0060559	0.004812	0.0074004	0.0085917	0.0103426	
クロヅル (<em class="sci">Grus grus</em>)	0.0021319	0.0108783	0.0072629	0.0066193	0.0093029	0.0105593	0.0089273	0.0062616	0.003437	0.002448	5.2E-4	5.147E-4	0.0015	1.536E-4	1.402E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.613E-4	1.738E-4	0.0	6.995E-4	0.0013596	0.0018152	0.0019327	0.0033862	0.0045541	0.0035487	0.0043094	
ナベヅル (<em class="sci">Grus monacha</em>)	0.0076499	0.0235026	0.0216543	0.0141021	0.0177138	0.0211186	0.0149276	0.0156539	0.0072013	0.0026228	0.0022534	0.001158	1.626E-4	0.0	0.0	1.196E-4	1.402E-4	0.0	1.458E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	2.053E-4	1.613E-4	1.738E-4	4.713E-4	0.0037773	0.003569	0.0047855	0.0092772	0.0087328	0.011575	0.0113934	0.0135747	
雑種 クロヅル ｘ ナベヅル (<em class="sci">Grus grus x monacha</em>)	2.508E-4	6.715E-4	0.0012105	4.797E-4	7.646E-4	0.0010443	4.39E-4	4.269E-4	3.273E-4	1.749E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.288E-4	1.782E-4	1.898E-4	0.0	1.077E-4	
ツル科 (<em class="sci">Gruidae sp.</em>)	0.0	2.686E-4	0.0	0.0	1.274E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	3.232E-4	
セイタカシギ (<em class="sci">Himantopus himantopus</em>)	0.0131678	0.0124899	0.0099529	0.0112241	0.008156	0.0074263	0.0087809	0.0052654	0.006874	0.0090925	0.0110938	0.0118374	0.0130102	0.0173552	0.0192119	0.0203325	0.0176644	0.0132195	0.0107919	0.0132868	0.0076508	0.0037821	0.0061728	0.0018345	0.0048321	0.0061795	0.0102351	0.0089177	0.0107683	0.0187728	0.0335552	0.0383957	0.0359182	0.0388082	0.0472235	0.0316993	0.0182714	0.0198451	0.0179006	0.0168493	0.0135702	0.0127464	0.009736	0.0117253	0.0115844	0.0113852	0.0110198	0.0122818	
ソリハシセイタカシギ (<em class="sci">Recurvirostra avosetta</em>)	0.0037622	0.0041633	0.0022865	0.0018227	0.0012744	0.0012764	8.781E-4	5.692E-4	0.0011457	0.0017486	0.0020801	0.0010293	9.758E-4	7.679E-4	1.402E-4	3.588E-4	2.804E-4	2.754E-4	8.75E-4	5.63E-4	1.739E-4	1.891E-4	0.0	0.0	0.0015	0.0	0.0	2.027E-4	2.91E-4	0.0	2.773E-4	0.0	0.0	0.0	0.0	3.268E-4	0.0	3.227E-4	3.476E-4	9.426E-4	0.0015389	0.0016995	0.0024752	0.002577	0.0065942	0.0032258	0.0044826	0.0034475	
ミヤコドリ (<em class="sci">Haematopus ostralegus</em>)	0.0092802	0.008058	0.006456	0.0057559	0.0048426	0.0047575	0.0048295	0.0045539	0.0076923	0.015737	0.0093604	0.0099074	0.012685	0.0162801	0.0143037	0.0179404	0.0099537	0.0086753	0.0072918	0.0052922	0.0031299	0.0049168	0.0030864	0.0044029	0.0036241	0.0029554	0.006639	0.008715	0.0133877	0.0098067	0.0135885	0.0134955	0.0164129	0.0167752	0.0166113	0.0125817	0.0127284	0.011778	0.0132082	0.0103688	0.0107722	0.0086676	0.0089109	0.0082464	0.0083764	0.0077799	0.0093388	0.0087266	
ダイゼン (<em class="sci">Pluvialis squatarola</em>)	0.0116629	0.0135643	0.0117014	0.008538	0.0123614	0.0089348	0.0090736	0.0065462	0.008347	0.0087428	0.0105738	0.0086207	0.0115466	0.0136692	0.0168279	0.0212893	0.0211692	0.0212063	0.014292	0.006193	0.002956	0.0026475	0.0012346	9.173E-4	0.0014496	0.001612	0.004426	0.0085124	0.0148428	0.0165312	0.0343871	0.0361148	0.0333016	0.0358037	0.0353583	0.0272876	0.0162184	0.0167796	0.0191171	0.012254	0.009653	0.0056084	0.009901	0.0081175	0.0089111	0.0089184	0.0100859	0.0082956	
ヨーロッパムナグロ (<em class="sci">Pluvialis apricaria</em>)	1.254E-4	0.0	0.0	0.0	0.0	0.0	0.0	2.846E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.634E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	1.288E-4	1.782E-4	0.0	0.0	0.0	
アメリカムナグロ (<em class="sci">Pluvialis dominica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ムナグロ (<em class="sci">Pluvialis fulva</em>)	0.007399	0.0057749	0.0071284	0.0065234	0.0066267	0.0056858	0.0045368	0.0059769	0.0057283	0.0068194	0.0100537	0.0064334	0.0108961	0.0164337	0.0249614	0.031934	0.030422	0.0150096	0.0083127	0.0036032	6.955E-4	0.0015129	4.115E-4	3.669E-4	4.832E-4	0.0010747	0.0013831	0.0020268	0.007858	0.0187728	0.036883	0.0355446	0.0406755	0.0275413	0.0329853	0.0263072	0.0170396	0.0161342	0.0215502	0.0139036	0.0086738	0.006968	0.0080858	0.0070867	0.0073071	0.0053131	0.0067239	0.0049558	
ヨーロッパムナグロ／アメリカムナグロ／ムナグロ (<em class="sci">Pluvialis dominica/apricaria/fulva</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3E-4	0.0	0.0	0.0	1.868E-4	0.0	
コバシチドリ (<em class="sci">Eudromias morinellus</em>)	0.0	0.0	0.0	9.59E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.077E-4	
ハジロコチドリ (<em class="sci">Charadrius hiaticula</em>)	0.0025082	0.0012087	9.415E-4	0.0013431	0.0021664	0.0013924	2.927E-4	0.0012808	8.183E-4	3.497E-4	0.00104	9.007E-4	0.0014637	4.608E-4	5.609E-4	8.372E-4	0.0015	0.0015	1.458E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.604E-4	0.0013866	0.0028512	0.0011893	0.0017526	0.0014238	0.001634	0.0016424	9.681E-4	6.952E-4	7.07E-4	2.798E-4	3.399E-4	1.65E-4	7.731E-4	0.0010693	5.693E-4	0.0013074	0.0014006	
ミズカキチドリ (<em class="sci">Charadrius semipalmatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.399E-4	0.0	0.0	2.577E-4	0.0	0.0	0.0	2.155E-4	
コチドリ (<em class="sci">Thinornis dubius</em>)	0.0136694	0.0135643	0.0117014	0.0117038	0.0119791	0.0105593	0.0100981	0.0079693	0.0139116	0.0251792	0.0542555	0.0627895	0.0657017	0.0703425	0.0802132	0.0923335	0.0744427	0.0851005	0.0678139	0.0538228	0.0552947	0.0508699	0.0485597	0.0524674	0.0572602	0.0577646	0.0539419	0.0460073	0.0640279	0.0608013	0.0723794	0.0695685	0.0642245	0.0583375	0.0531561	0.0366013	0.026278	0.0211359	0.0189433	0.0157889	0.0142697	0.0096873	0.0085809	0.0101791	0.0112279	0.0094877	0.0095256	0.0105581	
ハジロコチドリ／コチドリ (<em class="sci">Charadrius hiaticula/Thinornis dubius</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65E-4	0.0	0.0	0.0	0.0	0.0	
イカルチドリ (<em class="sci">Thinornis placidus</em>)	0.0349887	0.0374698	0.0345662	0.0335764	0.0331337	0.0300534	0.0264891	0.0204924	0.0206219	0.016961	0.0145606	0.0120947	0.0146365	0.0129012	0.0143037	0.0100466	0.0100939	0.0117048	0.0116669	0.0077694	0.0093897	0.0083207	0.0076132	0.0091726	0.0096642	0.0088662	0.0077455	0.0058776	0.0098952	0.0123284	0.0116473	0.0152062	0.0121313	0.0175263	0.0161367	0.0124183	0.0188873	0.0154889	0.0145985	0.0139036	0.016648	0.0141061	0.019967	0.0203582	0.0306541	0.0229602	0.0295106	0.0285499	
Charadrius/Thinornis sp. (<em class="sci">Charadrius/Thinornis sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.287E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.058E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.214E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
タゲリ (<em class="sci">Vanellus vanellus</em>)	0.0273389	0.0381413	0.0275723	0.0268611	0.0275264	0.0291251	0.0232694	0.0220578	0.0121113	0.0106662	0.0039868	0.0021873	8.131E-4	1.536E-4	1.402E-4	5.98E-4	1.402E-4	2.754E-4	0.0	0.0	1.739E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.504E-4	0.0	0.0	6.159E-4	1.613E-4	0.0013903	0.004124	0.0125909	0.0130863	0.0160066	0.0198428	0.0220994	0.016888	0.0239074	0.0287654	
ケリ (<em class="sci">Vanellus cinereus</em>)	0.0158014	0.0136986	0.0102219	0.0117997	0.0127437	0.0125319	0.0147812	0.0130924	0.0155483	0.0162616	0.0199341	0.0218734	0.0213043	0.0187375	0.0244005	0.0260734	0.0206084	0.0220325	0.0189587	0.0176782	0.0172144	0.0173979	0.0170782	0.0168776	0.0157043	0.0134336	0.0130014	0.0141873	0.0197905	0.0212945	0.0227399	0.0182475	0.0164129	0.0190285	0.0128144	0.0089869	0.0127284	0.0116167	0.0104275	0.0093084	0.009653	0.0093474	0.0148515	0.0127561	0.015327	0.0092979	0.0115801	0.0136824	
オオチドリ (<em class="sci">Anarhynchus veredus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.467E-4	0.0010293	1.626E-4	1.536E-4	0.0	0.0	1.402E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
メダイチドリ (<em class="sci">Anarhynchus mongolus</em>)	0.0035114	0.0037604	0.0036315	0.002878	0.0038231	0.0024368	0.0016098	0.0022769	0.0032733	0.0031474	0.0050269	0.003474	0.0087819	0.0175088	0.0273454	0.0354025	0.0328053	0.0234095	0.0153128	0.0081072	0.0031299	0.0013238	0.0010288	0.0014676	4.832E-4	0.0034927	0.011065	0.0180381	0.0250291	0.0291398	0.0460344	0.04866	0.0532826	0.0425638	0.0424775	0.0267974	0.0190926	0.0130687	0.0119917	0.0070696	0.0037773	0.0032291	0.0056106	0.002577	0.0040991	0.002277	0.0035487	0.0019392	
メダイチドリ／チベットメダイチドリ (<em class="sci">Anarhynchus mongolus/atrifrons</em>)	0.0015	0.0	1.345E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.733E-4	0.0	0.0	0.0	0.0	3.588E-4	0.0	0.0	0.0	1.126E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91E-4	0.0	2.773E-4	0.0	4.757E-4	0.0	0.0	0.0	0.0	1.613E-4	0.0	1.178E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
オオメダイチドリ (<em class="sci">Anarhynchus leschenaultii</em>)	0.0010033	8.058E-4	0.001345	8.634E-4	0.0010195	6.962E-4	0.0010244	0.0011385	9.82E-4	0.001224	0.0020801	0.0012867	0.0014637	0.0035325	0.0030851	0.0052625	0.0040656	0.0011016	0.0014584	0.0010134	5.216E-4	3.782E-4	4.115E-4	7.338E-4	4.832E-4	0.0021494	0.002213	0.0054722	0.0075669	0.0089661	0.0169163	0.0138757	0.0156993	0.0127692	0.0121025	0.0053922	0.0030794	0.0020975	0.0017379	0.0018852	4.197E-4	5.099E-4	0.0021452	5.154E-4	5.347E-4	7.59E-4	9.339E-4	7.541E-4	
メダイチドリ／チベットメダイチドリ／オオメダイチドリ (<em class="sci">Anarhynchus mongolus/atrifrons/leschenaultii</em>)	5.016E-4	4.029E-4	4.035E-4	4.797E-4	5.097E-4	0.0015	1.463E-4	4.269E-4	1.637E-4	5.246E-4	6.934E-4	3.86E-4	6.505E-4	6.143E-4	1.402E-4	5.98E-4	1.402E-4	2.754E-4	0.0	1.126E-4	0.0	0.0	0.0	0.0	2.416E-4	2.687E-4	0.0	6.08E-4	2.91E-4	0.0	0.0011093	9.504E-4	0.0016651	5.008E-4	0.0021357	1.634E-4	4.106E-4	3.227E-4	3.476E-4	3.535E-4	1.399E-4	0.0015	8.251E-4	0.0	0.0015	1.898E-4	5.603E-4	9.696E-4	
シロチドリ (<em class="sci">Anarhynchus alexandrinus</em>)	0.0213193	0.0209508	0.0186954	0.0188028	0.0179687	0.0148526	0.0133177	0.0146577	0.0145663	0.0171359	0.0171607	0.0122234	0.0141486	0.0173552	0.0187912	0.0222461	0.0179448	0.0144588	0.0116669	0.0103592	0.0079986	0.006997	0.0055556	0.0073381	0.0086978	0.0088662	0.0127248	0.0208756	0.0157159	0.0201737	0.0313367	0.0311728	0.0373454	0.0335503	0.0339345	0.0218954	0.0160131	0.0162956	0.0192909	0.0153175	0.0128707	0.0086676	0.0138614	0.0134003	0.0122973	0.013852	0.0162495	0.0176686	
