ebird_species_code,scientific_name,japanese_name,ebird_common_name,frequency_annual_mean,frequency_max,n_periods_detected,residence_status
lbbgul,Larus fuscus,ニシセグロカモメ,Lesser Black-backed Gull,0.002328941666666667,0.0084882,37.0,winter
ruff,Calidris pugnax,エリマキシギ,Ruff,0.0023121249999999995,0.0166508,40.0,passage
retloo,Gavia stellata,アビ,Red-throated Loon,0.0022597624999999995,0.0105308,39.0,winter
blfowl1,Ketupa blakistoni,シマフクロウ,Blakiston's Fish-Owl,0.0022499208333333336,0.0086808,48.0,resident
asrfin1,Leucosticte arctoa,ハギマシコ,Asian Rosy-Finch,0.0022360583333333336,0.0106753,37.0,winter
eurwoo,Scolopax rusticola,ヤマシギ,Eurasian Woodcock,0.0022282395833333334,0.0062356,47.0,resident
amewig,Mareca americana,アメリカヒドリ,American Wigeon,0.0022016687500000004,0.0072183,31.0,winter
bonpet,Pterodroma hypoleuca,シロハラミズナギドリ,Bonin Petrel,0.0021201729166666666,0.0184303,35.0,summer
ryurob2,Larvivora komadori,アカヒゲ,Ryukyu Robin,0.002113702083333333,0.0114852,46.0,resident
shtalb,Phoebastria albatrus,アホウドリ,Short-tailed Albatross,0.0020925062500000004,0.0141635,41.0,passage
blawoo1,Dryocopus martius,クマゲラ,Black Woodpecker,0.0020842833333333333,0.0073031,48.0,resident
copphe1,Syrmaticus soemmerringii,ヤマドリ,Copper Pheasant,0.002076597916666667,0.0046277,48.0,resident
copphe1,Syrmaticus soemmerringii,ヤマドリ,Copper Pheasant,0.002076597916666667,0.0046277,48.0,resident
mouhae1,Nisaetus nipalensis,クマタカ,Mountain Hawk-Eagle,0.0020641729166666666,0.0084967,48.0,resident
redcro,Loxia curvirostra,イスカ,Red Crossbill,0.002053820833333333,0.0089549,44.0,resident
eursta,Sturnus vulgaris,ホシムクドリ,European Starling,0.0020146083333333334,0.0056858,39.0,winter
spored,Tringa erythropus,ツルシギ,Spotted Redshank,0.001995585416666667,0.0088235,40.0,resident
renpha,Phalaropus lobatus,アカエリヒレアシシギ,Red-necked Phalarope,0.0019681875,0.0094794,32.0,summer
litbun,Emberiza pusilla,コホオアカ,Little Bunting,0.001940489583333333,0.0214496,33.0,summer
comcra,Grus grus,クロヅル,Common Crane,0.0019291145833333341,0.0108783,25.0,winter
pacloo,Gavia pacifica,シロエリオオハム,Pacific Loon,0.0018880645833333324,0.0075704,45.0,resident
daujac1,Corvus dauuricus,コクマルガラス,Daurian Jackdaw,0.0018735770833333337,0.0092667,26.0,winter
retpip,Anthus cervinus,ムネアカタヒバリ,Red-throated Pipit,0.0018600291666666668,0.0080671,36.0,resident
dasfly,Muscicapa sibirica,サメビタキ,Dark-sided Flycatcher,0.0018480041666666662,0.0124183,28.0,summer
ijlwar1,Phylloscopus ijimae,イイジマムシクイ,Ijima's Leaf Warbler,0.0018336958333333333,0.0102085,28.0,summer
nohcuc1,Hierococcyx hyperythrus,ジュウイチ,Northern Hawk-Cuckoo,0.0018185020833333331,0.0149539,25.0,summer
yelbun1,Emberiza sulphurata,ノジコ,Yellow Bunting,0.001807204166666667,0.0141595,29.0,summer
japmur1,Synthliboramphus wumizusume,カンムリウミスズメ,Japanese Murrelet,0.0017562479166666671,0.0053274,43.0,resident
margra1,Locustella pryeri,オオセッカ,Marsh Grassbird,0.0017513104166666672,0.0074377,43.0,summer
brant,Branta bernicla,コクガン,Brant,0.0017457437500000004,0.0063136,34.0,winter
loeowl,Asio otus,トラフズク,Long-eared Owl,0.0017258645833333334,0.0040917,47.0,resident
blnter1,Sterna sumatrana,エリグロアジサシ,Black-naped Tern,0.001714472916666666,0.0107884,24.0,summer
merlin,Falco columbarius,コチョウゲンボウ,Merlin,0.0017137395833333334,0.0066796,31.0,winter
sancra,Antigone canadensis,カナダヅル,Sandhill Crane,0.0016963895833333334,0.0096696,25.0,winter
rinphe1,Phasianus colchicus,タイリクキジ,Ring-necked Pheasant,0.0016815500000000002,0.0041152,48.0,resident
sooshe,Ardenna grisea,ハイイロミズナギドリ,Sooty Shearwater,0.0016614458333333332,0.0094794,36.0,summer
pomjae,Stercorarius pomarinus,トウゾクカモメ,Pomarine Jaeger,0.0016467083333333327,0.0061702,47.0,resident
norful,Fulmarus glacialis,フルマカモメ,Northern Fulmar,0.0016434624999999998,0.0090772,46.0,resident
yebwar3,Phylloscopus inornatus,キマユムシクイ,Yellow-browed Warbler,0.0016341,0.0103743,35.0,resident
redpol1,Acanthis flammea,ベニヒワ,Redpoll,0.0016235041666666662,0.0063627,31.0,winter
redkno,Calidris canutus,コオバシギ,Red Knot,0.0015764875,0.0121025,35.0,summer
refboo,Sula sula,アカアシカツオドリ,Red-footed Booby,0.0015762770833333336,0.0182768,44.0,summer
ocrbun1,Emberiza yessoensis,コジュリン,Ochre-rumped Bunting,0.0015533145833333338,0.0049917,45.0,resident
alpacc1,Prunella collaris,イワヒバリ,Alpine Accentor,0.001537091666666667,0.0066883,43.0,summer
arcloo,Gavia arctica,オオハム,Arctic Loon,0.0015340645833333332,0.0053274,44.0,resident
oripra,Glareola maldivarum,ツバメチドリ,Oriental Pratincole,0.0015029854166666663,0.006339,36.0,summer
dusthr1,Turdus naumanni,ハチジョウツグミ,Naumann's Thrush,0.0014922729166666666,0.0072013,32.0,winter
eurhob,Falco subbuteo,チゴハヤブサ,Eurasian Hobby,0.0014895395833333335,0.0093137,34.0,summer
rocpta1,Lagopus muta,ライチョウ,Rock Ptarmigan,0.0014692354166666668,0.0056038,34.0,summer
lobdow,Limnodromus scolopaceus,オオハシシギ,Long-billed Dowitcher,0.0014670333333333336,0.0037954,39.0,resident
crseag1,Spilornis cheela,カンムリワシ,Crested Serpent-Eagle,0.0014272770833333335,0.0083203,48.0,resident
narfly3,Ficedula owstoni,リュウキュウキビタキ,Ryukyu Flycatcher,0.0013951645833333338,0.0059678,48.0,resident
brbsan,Calidris falcinellus,キリアイ,Broad-billed Sandpiper,0.0013720937499999998,0.0121313,21.0,summer
bohwax,Bombycilla garrulus,キレンジャク,Bohemian Waxwing,0.0013708104166666667,0.0048535,30.0,winter
purher1,Ardea purpurea,ムラサキサギ,Purple Heron,0.00136108125,0.0055469,47.0,resident
piggui,Cepphus columba,ウミバト,Pigeon Guillemot,0.00135525,0.0074,41.0,winter
rebfly,Ficedula parva,ニシオジロビタキ,Red-breasted Flycatcher,0.0013344749999999997,0.0056433,31.0,winter
cinbit1,Ixobrychus cinnamomeus,リュウキュウヨシゴイ,Cinnamon Bittern,0.00131831875,0.0049952,48.0,resident
duswar,Phylloscopus fuscatus,ムジセッカ,Dusky Warbler,0.0012994229166666666,0.009393,34.0,resident
commur,Uria aalge,ウミガラス,Common Murre,0.0012667375000000002,0.0052685,42.0,resident
cacgoo1,Branta hutchinsii,シジュウカラガン,Cackling Goose,0.0012470416666666667,0.0060595,32.0,winter
brnnod,Anous stolidus,クロアジサシ,Brown Noddy,0.0012009770833333333,0.0096722,32.0,summer
trspet,Hydrobates tristrami,オーストンウミツバメ,Tristram's Storm-Petrel,0.0011963354166666669,0.0071519,38.0,passage
pieavo1,Recurvirostra avosetta,ソリハシセイタカシギ,Pied Avocet,0.0011851541666666667,0.0065942,38.0,winter
jasowl1,Otus semitorques,オオコノハズク,Japanese Scops-Owl,0.0011842708333333334,0.0026749,47.0,resident
maspet2,Hydrobates matsudairae,クロウミツバメ,Matsudaira's Storm-Petrel,0.001155460416666667,0.0201198,23.0,summer
mugfly,Ficedula mugimaki,ムギマキ,Mugimaki Flycatcher,0.001136827083333333,0.0107949,17.0,summer
amawoo1,Scolopax mira,アマミヤマシギ,Amami Woodcock,0.001126495833333334,0.004504,45.0,resident
chpher1,Ardeola bacchus,アカガシラサギ,Chinese Pond-Heron,0.0011238625,0.0050233,47.0,resident
flfshe,Ardenna carneipes,アカアシミズナギドリ,Flesh-footed Shearwater,0.0010847645833333335,0.0034856,38.0,summer
chptit1,Remiz consobrinus,ツリスガラ,Chinese Penduline-Tit,0.0010838395833333329,0.0065857,29.0,winter
compea,Pavo cristatus,インドクジャク,Indian Peafowl,0.0010562708333333333,0.0045536,47.0,resident
sibthr1,Geokichla sibirica,マミジロ,Siberian Thrush,0.0010537166666666669,0.0074377,27.0,summer
ferduc,Aythya nyroca,メジロガモ,Ferruginous Duck,0.0010034125,0.0043094,28.0,winter
lanwar,Locustella lanceolata,マキノセンニュウ,Lanceolated Warbler,0.0009521541666666669,0.0113464,21.0,summer
sheowl,Asio flammeus,コミミズク,Short-eared Owl,0.0009430625,0.0041633,29.0,winter
grynig1,Caprimulgus jotaka,ヨタカ,Gray Nightjar,0.0009097229166666665,0.005295,28.0,summer
thbmur,Uria lomvia,ハシブトウミガラス,Thick-billed Murre,0.0008745104166666666,0.0044116,36.0,winter
corplo,Charadrius hiaticula,ハジロコチドリ,Common Ringed Plover,0.0008630395833333334,0.0028512,38.0,resident
whblau1,Pterorhinus sannio,カオジロガビチョウ,White-browed Laughingthrush,0.0008628916666666665,0.002277,48.0,resident
dollar1,Eurystomus orientalis,ブッポウソウ,Dollarbird,0.00086013125,0.0061795,22.0,summer
troshe4,Puffinus bannermani,オガサワラミズナギドリ,Bannerman's Shearwater,0.0008596125000000002,0.0096759,25.0,summer
grpsni1,Rostratula benghalensis,タマシギ,Greater Painted-Snipe,0.0008570520833333333,0.003568,41.0,resident
lotjae,Stercorarius longicaudus,シロハラトウゾクカモメ,Long-tailed Jaeger,0.0008546354166666667,0.0082737,32.0,summer
lwfgoo,Anser erythropus,カリガネ,Lesser White-fronted Goose,0.00084770625,0.0037426,26.0,winter
plewar1,Locustella pleskei,ウチヤマセンニュウ,Pleske's Grasshopper Warbler,0.0008441791666666665,0.0066434,20.0,summer
emedov2,Chalcophaps indica,キンバト,Asian Emerald Dove,0.0008430708333333335,0.0067168,40.0,summer
palros2,Carpodacus roseus,オオマシコ,Pallas's Rosefinch,0.0008411145833333334,0.0030935,30.0,winter
maslau1,Pterorhinus perspicillatus,カオグロガビチョウ,Masked Laughingthrush,0.0008332416666666666,0.0018811,48.0,resident
snogoo,Anser caerulescens,ハクガン,Snow Goose,0.0008208583333333333,0.0041232,29.0,winter
roster,Sterna dougallii,ベニアジサシ,Roseate Tern,0.0008034479166666668,0.0049793,22.0,summer
parjae,Stercorarius parasiticus,クロトウゾクカモメ,Parasitic Jaeger,0.0007980541666666669,0.0037863,40.0,resident
yebbun1,Emberiza chrysophrys,キマユホオジロ,Yellow-browed Bunting,0.0007892875000000001,0.018085,13.0,summer
lcspet,Hydrobates leucorhous,コシジロウミツバメ,Leach's Storm-Petrel,0.0007835249999999997,0.0035058,33.0,summer
sibcra1,Leucogeranus leucogeranus,ソデグロヅル,Siberian Crane,0.0007815291666666669,0.0048348,20.0,winter
bkfbun1,Emberiza spodocephala,シベリアアオジ,Black-faced Bunting,0.0007786625000000001,0.012337,17.0,summer
refcor,Urile urile,チシマウガラス,Red-faced Cormorant,0.000763175,0.0027039,38.0,resident
janher1,Gorsachius goisagi,ミゾゴイ,Japanese Night Heron,0.0007357895833333333,0.0039469,40.0,resident
creibi1,Nipponia nippon,トキ,Crested Ibis,0.0007356041666666666,0.0029352,45.0,resident
creibi1,Nipponia nippon,トキ,Crested Ibis,0.0007356041666666666,0.0029352,45.0,resident
redpha1,Phalaropus fulicarius,ハイイロヒレアシシギ,Red Phalarope,0.0007333062500000002,0.0030843,40.0,summer
solpet1,Pterodroma solandri,ハジロミズナギドリ,Providence Petrel,0.0007299249999999999,0.0029042,31.0,resident
commyn,Acridotheres tristis,インドハッカ,Common Myna,0.0007247125000000002,0.0032935,43.0,resident
leaauk,Aethia pusilla,コウミスズメ,Least Auklet,0.0007074583333333334,0.0054077,23.0,winter
hazgro1,Tetrastes bonasia,エゾライチョウ,Hazel Grouse,0.0006892458333333332,0.0022415,45.0,resident
tribun1,Emberiza tristrami,シロハラホオジロ,Tristram's Bunting,0.0006596541666666665,0.0088322,15.0,passage
pingro,Pinicola enucleator,ギンザンマシコ,Pine Grosbeak,0.0006593833333333332,0.0030864,37.0,summer
grebit1,Botaurus stellaris,サンカノゴイ,Eurasian Bittern,0.0006412291666666666,0.0020417,39.0,resident
hoopoe,Upupa epops,ヤツガシラ,Eurasian Hoopoe,0.0006309166666666668,0.0043335,34.0,resident
rolhaw,Buteo lagopus,ケアシノスリ,Rough-legged Hawk,0.0006285104166666666,0.0032731,24.0,winter
litsti,Calidris minuta,ヨーロッパトウネン,Little Stint,0.0006111229166666667,0.0038059,35.0,resident
solsni1,Gallinago solitaria,アオシギ,Solitary Snipe,0.00060086875,0.0041269,24.0,winter
yebgro1,Eophona migratoria,コイカル,Yellow-billed Grosbeak,0.0005995124999999999,0.0028918,33.0,resident
sooter1,Onychoprion fuscatus,セグロアジサシ,Sooty Tern,0.00059555625,0.0045674,29.0,summer
ftspet,Hydrobates furcatus,ハイイロウミツバメ,Fork-tailed Storm-Petrel,0.0005865749999999999,0.0020268,37.0,resident
barbut1,Turnix suscitator,ミフウズラ,Barred Buttonquail,0.0005859020833333333,0.0024958,36.0,resident
rinduc,Aythya collaris,クビワキンクロ,Ring-necked Duck,0.0005835833333333334,0.0026336,22.0,winter
cursan,Calidris ferruginea,サルハマシギ,Curlew Sandpiper,0.00055701875,0.0035053,23.0,passage
manher1,Gorsachius melanolophus,ズグロミゾゴイ,Malayan Night Heron,0.0005527708333333332,0.0021488,42.0,resident
grcter1,Thalasseus bergii,オオアジサシ,Great Crested Tern,0.0005460125000000001,0.0036051,29.0,resident
creauk,Aethia cristatella,エトロフウミスズメ,Crested Auklet,0.0005452145833333334,0.0031474,26.0,resident
swagoo1,Anser cygnoid,サカツラガン,Swan Goose,0.00054004375,0.0038947,21.0,winter
whssta2,Sturnia sinensis,カラムクドリ,White-shouldered Starling,0.0005388562500000001,0.0017557,32.0,resident
leswoo1,Dryobates minor,コアカゲラ,Lesser Spotted Woodpecker,0.0005347958333333333,0.0016823,44.0,resident
bonhon1,Apalopteron familiare,メグロ,Bonin White-eye,0.00052938125,0.0029554,34.0,resident
rebsta1,Spodiopsar sericeus,ギンムクドリ,Red-billed Starling,0.00052151875,0.0021873,34.0,resident
ricpip1,Anthus richardi,マミジロタヒバリ,Richard's Pipit,0.0005023833333333334,0.0039254,33.0,resident
pinbun,Emberiza leucocephalos,シラガホオジロ,Pine Bunting,0.00050179375,0.0067764,20.0,passage
masboo,Sula dactylatra,アオツラカツオドリ,Masked Booby,0.0004957791666666667,0.0030717,30.0,resident
chiegr,Egretta eulophotes,カラシラサギ,Chinese Egret,0.0004927708333333332,0.0024321,26.0,resident
blkswa,Cygnus atratus,コクチョウ,Black Swan,0.0004790583333333333,0.0015,44.0,resident
goleag,Aquila chrysaetos,イヌワシ,Golden Eagle,0.0004766270833333333,0.0015,37.0,resident
pecsan,Calidris melanotos,アメリカウズラシギ,Pectoral Sandpiper,0.0004584520833333333,0.0022588,28.0,passage
japqua,Coturnix japonica,ウズラ,Japanese Quail,0.00044874374999999997,0.0015,43.0,resident
gybthr1,Turdus hortulorum,カラアカハラ,Gray-backed Thrush,0.0004338979166666667,0.0064489,20.0,passage
sopsku1,Stercorarius maccormicki,オオトウゾクカモメ,South Polar Skua,0.00043373333333333327,0.0024584,26.0,resident
snobun,Plectrophenax nivalis,ユキホオジロ,Snow Bunting,0.0004275874999999999,0.0021664,23.0,passage
vartit2,Sittiparus olivaceus,オリイヤマガラ,Iriomote Tit,0.0004230041666666667,0.0015,36.0,resident
caster1,Hydroprogne caspia,オニアジサシ,Caspian Tern,0.0004119479166666666,0.0015318,28.0,resident
swisni1,Gallinago megala,チュウジシギ,Swinhoe's Snipe,0.00040824583333333317,0.0033302,24.0,passage
whwter,Chlidonias leucopterus,ハジロクロハラアジサシ,White-winged Tern,0.00040696874999999994,0.0019412,27.0,resident
rettro,Phaethon rubricauda,アカオネッタイチョウ,Red-tailed Tropicbird,0.0003962416666666666,0.0036241,19.0,passage
grfhaw1,Accipiter soloensis,アカハラダカ,Chinese Sparrowhawk,0.00039457500000000004,0.0081699,17.0,passage
y00478,Larus glaucoides,アイスランドカモメ,Iceland Gull,0.0003929645833333334,0.0032197,21.0,passage
tufpuf,Fratercula cirrhata,エトピリカ,Tufted Puffin,0.00038728125,0.002213,24.0,passage
laplon,Calcarius lapponicus,ツメナガホオジロ,Lapland Longspur,0.00038424166666666676,0.0024201,27.0,resident
recpoc,Netta rufina,アカハシハジロ,Red-crested Pochard,0.00038020208333333335,0.0020545,19.0,passage
swspet,Hydrobates monorhis,ヒメクロウミツバメ,Swinhoe's Storm-Petrel,0.00037941666666666674,0.0021494,19.0,passage
palbun,Emberiza pallasi,シベリアジュリン,Pallas's Bunting,0.00037476041666666674,0.0029545,23.0,passage
faipit1,Pitta nympha,ヤイロチョウ,Fairy Pitta,0.00036989583333333346,0.0023646,17.0,passage
orsowl,Otus sunia,コノハズク,Oriental Scops-Owl,0.0003594208333333333,0.0018225,23.0,passage
sllcra1,Rallina eurizonoides,オオクイナ,Slaty-legged Crake,0.00035448333333333327,0.001612,28.0,resident
demcra1,Anthropoides virgo,アネハヅル,Demoiselle Crane,0.0003540208333333334,0.0022831,19.0,passage
arcwar1,Phylloscopus borealis,コムシクイ,Arctic Warbler,0.00035272083333333327,0.0031046,28.0,resident
chemun,Lonchura atricapilla,キンパラ,Chestnut Munia,0.00033800208333333335,0.0015,31.0,resident
baepoc1,Aythya baeri,アカハジロ,Baer's Pochard,0.0003293875,0.0015292,25.0,passage
taifly1,Ficedula albicilla,オジロビタキ,Taiga Flycatcher,0.0003276958333333333,0.0028918,27.0,resident
yebloo,Gavia adamsii,ハシジロアビ,Yellow-billed Loon,0.00032001249999999995,0.0015737,30.0,resident
rutrob1,Larvivora sibilans,シマゴマ,Rufous-tailed Robin,0.00031996458333333335,0.0068852,9.0,passage
tigshr1,Lanius tigrinus,チゴモズ,Tiger Shrike,0.00031430624999999996,0.0022014,18.0,passage
korfly1,Ficedula zanthopygia,マミジロキビタキ,Yellow-rumped Flycatcher,0.00031291666666666664,0.005095,10.0,passage
buffle,Bucephala albeola,ヒメハジロ,Bufflehead,0.00030380208333333333,0.0028463,16.0,passage
phtjac1,Hydrophasianus chirurgus,レンカク,Pheasant-tailed Jacana,0.0002984749999999999,0.0018984,26.0,passage
yebbun,Emberiza aureola,シマアオジ,Yellow-breasted Bunting,0.0002867041666666666,0.0018225,19.0,passage
canvas,Aythya valisineria,オオホシハジロ,Canvasback,0.00028290208333333337,0.0015737,20.0,passage
whnpet,Pterodroma cervicalis,クビワオオシロハラミズナギドリ,White-necked Petrel,0.000281925,0.0015,16.0,passage
sibacc,Prunella montanella,ヤマヒバリ,Siberian Accentor,0.0002772770833333333,0.0025922,13.0,passage
yebtit4,Pardaliparus venustulus,キバラガラ,Yellow-bellied Tit,0.0002726770833333333,0.0015,18.0,passage
rudshe,Tadorna ferruginea,アカツクシガモ,Ruddy Shelduck,0.0002701729166666666,0.0015,24.0,resident
gubter2,Gelochelidon nilotica,ハシブトアジサシ,Gull-billed Tern,0.0002681395833333333,0.0015,19.0,passage
radwar1,Phylloscopus schwarzi,カラフトムジセッカ,Radde's Warbler,0.00026356458333333334,0.0029042,12.0,passage
palwar5,Phylloscopus proregulus,カラフトムシクイ,Pallas's Leaf Warbler,0.00026308750000000007,0.0040656,11.0,passage
norshr4,Lanius borealis,オオモズ,Northern Shrike,0.00025969583333333333,0.0015,21.0,passage
wispet,Oceanites oceanicus,アシナガウミツバメ,Wilson's Storm-Petrel,0.00025807083333333333,0.0019364,17.0,passage
comros,Carpodacus erythrinus,アカマシコ,Common Rosefinch,0.00025608125,0.0027428,16.0,passage
recdov1,Streptopelia tranquebarica,ベニバト,Red Collared-Dove,0.00025593750000000003,0.0015,25.0,resident
lobmur,Brachyramphus perdix,マダラウミスズメ,Long-billed Murrelet,0.00023990625,0.0015,22.0,resident
briter1,Onychoprion anaethetus,マミジロアジサシ,Bridled Tern,0.00022415416666666662,0.0015,20.0,passage
gstlar1,Calandrella brachydactyla,ヒメコウテンシ,Greater Short-toed Lark,0.00021607083333333337,0.0020332,13.0,passage
forwag1,Dendronanthus indicus,イワミセキレイ,Forest Wagtail,0.00021550208333333333,0.0015,21.0,resident
asidow1,Limnodromus semipalmatus,シベリアオオハシシギ,Asian Dowitcher,0.0002143916666666667,0.0015,13.0,passage
pitsni,Gallinago stenura,ハリオシギ,Pin-tailed Snipe,0.00020897916666666664,0.0015,28.0,resident
lesfri,Fregata ariel,コグンカンドリ,Lesser Frigatebird,0.00020482083333333334,0.0015,17.0,passage
chebun1,Emberiza rutila,シマノジコ,Chestnut Bunting,0.00020471875,0.0026164,12.0,passage
eucdov,Streptopelia decaocto,シラコバト,Eurasian Collared-Dove,0.0002015041666666667,0.0015,23.0,resident
eucdov,Streptopelia decaocto,シラコバト,Eurasian Collared-Dove,0.0002015041666666667,0.0015,23.0,resident
barpet,Hydrobates castro,クロコシジロウミツバメ,Band-rumped Storm-Petrel,0.00019902291666666668,0.0015,12.0,passage
scsmer1,Mergus squamatus,コウライアイサ,Scaly-sided Merganser,0.0001972166666666667,0.001604,18.0,passage
citwag,Motacilla citreola,キガシラセキレイ,Citrine Wagtail,0.00019447291666666665,0.0015,17.0,resident
lessca,Aythya affinis,コスズガモ,Lesser Scaup,0.00019398750000000002,0.0015,22.0,resident
spbsan1,Calidris pygmaea,ヘラシギ,Spoon-billed Sandpiper,0.00019328333333333333,0.0015,12.0,passage
budger,Melopsittacus undulatus,セキセイインコ,Budgerigar,0.0001896916666666667,0.0015,17.0,passage
greyel,Tringa melanoleuca,オオキアシシギ,Greater Yellowlegs,0.00018947916666666668,0.0016303,13.0,passage
blnori1,Oriolus chinensis,コウライウグイス,Black-naped Oriole,0.0001856770833333333,0.0026164,12.0,passage
norgre1,Tringa guttifer,カラフトアオアシシギ,Nordmann's Greenshank,0.0001745208333333333,0.0026103,12.0,passage
comchi1,Phylloscopus collybita,チフチャフ,Common Chiffchaff,0.00017420208333333333,0.0015,21.0,resident
wantat1,Tringa incana,メリケンキアシシギ,Wandering Tattler,0.0001714875,0.0020655,11.0,passage
leswhi4,Curruca curruca,コノドジロムシクイ,Lesser Whitethroat,0.00016988958333333332,0.0015,17.0,passage
deswhe1,Oenanthe deserti,サバクヒタキ,Desert Wheatear,0.00016689375,0.0019117,14.0,passage
wessan,Calidris mauri,ヒメハマシギ,Western Sandpiper,0.00016549791666666666,0.0016611,14.0,passage
rocsan,Calidris ptilocnemis,チシマシギ,Rock Sandpiper,0.00016140833333333333,0.0015,15.0,passage
savspa,Passerculus sandwichensis,サバンナシトド,Savannah Sparrow,0.00015725416666666667,0.0015,12.0,passage
grefri,Fregata minor,オオグンカンドリ,Great Frigatebird,0.00015613333333333332,0.0015,9.0,passage
blasto1,Ciconia nigra,ナベコウ,Black Stork,0.00015211874999999998,0.0015,14.0,passage
comrav,Corvus corax,ワタリガラス,Common Raven,0.000150925,0.001473,18.0,passage
aleter1,Onychoprion aleuticus,コシジロアジサシ,Aleutian Tern,0.00014605625000000002,0.0015,9.0,passage
chibla1,Turdus mandarinus,クロウタドリ,Chinese Blackbird,0.00014279374999999998,0.0019067,16.0,passage
norwhe,Oenanthe oenanthe,ハシグロヒタキ,Northern Wheatear,0.00014256041666666665,0.0015421,7.0,passage
baicra1,Zapornia pusilla,ヒメクイナ,Baillon's Crake,0.00014100833333333332,0.0015,12.0,passage
gocspa,Zonotrichia atricapilla,キガシラシトド,Golden-crowned Sparrow,0.00013750833333333332,0.0015,7.0,passage
horlar,Eremophila alpestris,ハマヒバリ,Horned Lark,0.00013624583333333334,0.0015,16.0,passage
lotshr1,Lanius schach,タカサゴモズ,Long-tailed Shrike,0.00013241458333333335,0.0015,14.0,passage
chgshr1,Lanius sphenocercus,オオカラモズ,Chinese Gray Shrike,0.00012920416666666667,0.0015,15.0,passage
pecpip,Anthus gustavi,セジロタヒバリ,Pechora Pipit,0.00012847291666666667,0.0015,9.0,passage
relkit,Rissa brevirostris,アカアシミツユビカモメ,Red-legged Kittiwake,0.00012809999999999997,0.0015,11.0,passage
bladro1,Dicrurus macrocercus,オウチュウ,Black Drongo,0.00012769375000000002,0.0016524,11.0,passage
fieldf,Turdus pilaris,ノハラツグミ,Fieldfare,0.00012399791666666668,0.0015654,13.0,passage
bryshe1,Puffinus bryani,オガサワラヒメミズナギドリ,Bryan's Shearwater,0.000123125,0.0015,13.0,resident
gragoo,Anser anser,ハイイロガン,Graylag Goose,0.00012268125,0.0008921,15.0,passage
uplbuz1,Buteo hemilasius,オオノスリ,Upland Buzzard,0.00011870208333333335,0.0015,15.0,passage
trepip,Anthus trivialis,ヨーロッパビンズイ,Tree Pipit,0.00011604791666666667,0.0012617,10.0,passage
amufal1,Falco amurensis,アカアシチョウゲンボウ,Amur Falcon,0.00011441666666666665,0.0015,10.0,passage
whrmun,Lonchura striata,コシジロキンパラ,White-rumped Munia,0.00011388750000000001,0.0015,13.0,passage
asikoe2,Eudynamys scolopaceus,オニカッコウ,Asian Koel,0.00011356041666666667,0.0015,10.0,passage
kerpet,Pterodroma neglecta,カワリシロハラミズナギドリ,Kermadec Petrel,0.00011238958333333332,0.002611,13.0,passage
grseag1,Clanga clanga,カラフトワシ,Greater Spotted Eagle,0.0001118166666666667,0.0015,11.0,passage
whinch1,Saxicola rubetra,マミジロノビタキ,Whinchat,0.00011033333333333334,0.0016424,4.0,vagrant
piehar1,Circus melanoleucos,マダラチュウヒ,Pied Harrier,0.00010973749999999999,0.0015,16.0,resident
sursco,Melanitta perspicillata,アラナミキンクロ,Surf Scoter,0.00010970833333333333,0.0015,11.0,passage
rosgul,Rhodostethia rosea,ヒメクビワカモメ,Ross's Gull,0.00010461875,0.0015,9.0,passage
whttro,Phaethon lepturus,シラオネッタイチョウ,White-tailed Tropicbird,0.00010308541666666667,0.0015,13.0,passage
schbit1,Ixobrychus eurhythmus,オオヨシゴイ,Schrenck's Bittern,9.67e-05,0.0015,12.0,passage
redwin,Turdus iliacus,ワキアカツグミ,Redwing,9.372083333333336e-05,0.0015,8.0,passage
gbhgul2,Ichthyaetus ichthyaetus,オオズグロカモメ,Pallas's Gull,9.342500000000001e-05,0.0015,9.0,passage
cfweye1,Zosterops erythropleurus,チョウセンメジロ,Chestnut-flanked White-eye,9.121249999999999e-05,0.0009804,10.0,passage
steeid,Polysticta stelleri,コケワタガモ,Steller's Eider,8.868124999999999e-05,0.0015,10.0,passage
whwcro,Loxia leucoptera,ナキイスカ,White-winged Crossbill,8.857083333333334e-05,0.0015,8.0,passage
bubsan,Calidris subruficollis,コモンシギ,Buff-breasted Sandpiper,8.793125e-05,0.0012519,7.0,passage
waterc1,Gallicrex cinerea,ツルクイナ,Watercock,8.680416666666668e-05,0.0005702,17.0,resident
gloibi,Plegadis falcinellus,ブロンズトキ,Glossy Ibis,8.513333333333332e-05,0.0015,6.0,passage
manbuw1,Horornis canturians,チョウセンウグイス,Manchurian Bush Warbler,8.235833333333335e-05,0.0015421,7.0,passage
litcur,Numenius minutus,コシャクシギ,Little Curlew,8.183958333333334e-05,0.001794,7.0,passage
colkin1,Todiramphus chloris,ナンヨウショウビン,Collared Kingfisher,7.958125e-05,0.0015,11.0,passage
blueth,Luscinia svecica,オガワコマドリ,Bluethroat,7.880625e-05,0.0004713,18.0,resident
whwsco2,Melanitta deglandi,アメリカビロードキンクロ,White-winged Scoter,7.723333333333333e-05,0.0015,10.0,passage
jacsni,Lymnocryptes minimus,コシギ,Jack Snipe,7.646250000000001e-05,0.0015,5.0,passage
horpuf,Fratercula corniculata,ツノメドリ,Horned Puffin,7.494375e-05,0.0011065,10.0,passage
lesyel,Tringa flavipes,コキアシシギ,Lesser Yellowlegs,7.435833333333334e-05,0.0015,5.0,passage
