ebird_species_code,scientific_name,japanese_name,ebird_common_name,frequency_annual_mean,frequency_max,n_periods_detected,residence_status
eurjay1,Garrulus glandarius,カケス,Eurasian Jay,0.037022527083333326,0.0730881,48.0,resident
hawfin,Coccothraustes coccothraustes,シメ,Hawfinch,0.03601336874999999,0.0904189,48.0,winter
rinphe2,Phasianus versicolor,キジ,Green Pheasant,0.0350995,0.1004665,48.0,resident
rinphe2,Phasianus versicolor,キジ,Green Pheasant,0.0350995,0.1004665,48.0,resident
eurnut2,Sitta europaea,ゴジュウカラ,Eurasian Nuthatch,0.033939616666666665,0.0525391,48.0,resident
bcnher,Nycticorax nycticorax,ゴイサギ,Black-crowned Night Heron,0.033126187499999994,0.0590682,48.0,resident
integr1,Ardea intermedia,チュウサギ,Medium Egret,0.03184465833333334,0.0912374,48.0,resident
ashmar1,Delichon dasypus,イワツバメ,Asian House-Martin,0.029736437499999994,0.0897235,48.0,summer
japwoo1,Picus awokera,アオゲラ,Japanese Woodpecker,0.029507822916666673,0.0531333,48.0,resident
orrwar1,Acrocephalus orientalis,オオヨシキリ,Oriental Reed Warbler,0.02949846666666667,0.1312815,40.0,summer
eurkes,Falco tinnunculus,チョウゲンボウ,Eurasian Kestrel,0.028245543749999994,0.0500376,48.0,resident
falduc,Mareca falcata,ヨシガモ,Falcated Duck,0.027540018749999996,0.0703734,47.0,winter
gyttat1,Tringa brevipes,キアシシギ,Gray-tailed Tattler,0.024532441666666672,0.1111264,48.0,summer
amepip,Anthus rubescens,タヒバリ,American Pipit,0.024271550000000003,0.066466,36.0,winter
martit2,Poecile palustris,ハシブトガラ,Marsh Tit,0.024173485416666664,0.0468194,48.0,resident
chbpar3,Bambusicola thoracicus,コジュケイ,Chinese Bamboo-Partridge,0.023624108333333334,0.0456883,48.0,resident
japgro1,Eophona personata,イカル,Japanese Grosbeak,0.02347610000000001,0.0389738,48.0,resident
commer,Mergus merganser,カワアイサ,Common Merganser,0.022605764583333337,0.0601493,48.0,resident
