ebird_species_code,japanese_name,scientific_name,ebird_common_name,residence_status,priority_tier,frequency_annual_mean,frequency_max,n_periods_detected,recordings_total,recordings_japan,recordings_downloadable,ml_available,ml_japan_available,recordings_with_ml,priority_score
grfhaw1,アカハラダカ,Accipiter soloensis,Chinese Sparrowhawk,passage,P2,0.000394575,0.0081699,17.0,63.0,4.0,23.0,40.0,4.0,63.0,6.551825000565366e-05
yebloo,ハシジロアビ,Gavia adamsii,Yellow-billed Loon,resident,P2,0.0003200124999999,0.0015737,30.0,51.0,0.0,19.0,32.0,0.0,51.0,5.586887990823252e-05
demcra1,アネハヅル,Anthropoides virgo,Demoiselle Crane,passage,P2,0.0003540208333333,0.0022831,19.0,95.0,0.0,11.0,84.0,0.0,95.0,5.3640228560348986e-05
tigshr1,チゴモズ,Lanius tigrinus,Tiger Shrike,passage,P2,0.0003143062499999,0.0022014,18.0,66.0,8.0,38.0,28.0,8.0,66.0,5.1631732003368226e-05
sibacc,ヤマヒバリ,Prunella montanella,Siberian Accentor,passage,P2,0.0002772770833333,0.0025922,13.0,58.0,12.0,33.0,25.0,10.0,58.0,4.694129319737897e-05
canvas,オオホシハジロ,Aythya valisineria,Canvasback,passage,P2,0.0002829020833333,0.0015737,20.0,77.0,0.0,11.0,66.0,0.0,77.0,4.487816036671457e-05
wispet,アシナガウミツバメ,Oceanites oceanicus,Wilson's Storm-Petrel,passage,P2,0.0002580708333333,0.0019364,17.0,52.0,0.0,25.0,27.0,0.0,52.0,4.484376683927912e-05
chebun1,シマノジコ,Emberiza rutila,Chestnut Bunting,passage,P2,0.00020471875,0.0026164,12.0,56.0,4.0,32.0,24.0,4.0,56.0,3.494698090865721e-05
lessca,コスズガモ,Aythya affinis,Lesser Scaup,resident,P2,0.0001939875,0.0015,22.0,99.0,0.0,15.0,84.0,0.0,99.0,2.913507636435517e-05
grefri,オオグンカンドリ,Fregata minor,Great Frigatebird,passage,P2,0.0001561333333333,0.0015,9.0,70.0,0.0,45.0,25.0,0.0,70.0,2.5305548008574093e-05
rocsan,チシマシギ,Calidris ptilocnemis,Rock Sandpiper,passage,P2,0.0001614083333333,0.0015,15.0,98.0,0.0,30.0,68.0,0.0,98.0,2.4294374941726865e-05
aleter1,コシジロアジサシ,Onychoprion aleuticus,Aleutian Tern,passage,P2,0.00014605625,0.0015,9.0,95.0,1.0,31.0,64.0,1.0,95.0,2.2130027091630317e-05
pecpip,セジロタヒバリ,Anthus gustavi,Pechora Pipit,passage,P2,0.0001284729166666,0.0015,9.0,91.0,6.0,44.0,47.0,6.0,91.0,1.964670386172053e-05
amufal1,アカアシチョウゲンボウ,Falco amurensis,Amur Falcon,passage,P2,0.0001144166666666,0.0015,10.0,92.0,0.0,37.0,55.0,0.0,92.0,1.7455963944605802e-05
grseag1,カラフトワシ,Clanga clanga,Greater Spotted Eagle,passage,P2,0.0001118166666666,0.0015,11.0,95.0,1.0,61.0,34.0,1.0,95.0,1.694214292526102e-05
whttro,シラオネッタイチョウ,Phaethon lepturus,White-tailed Tropicbird,passage,P2,0.0001030854166666,0.0015,13.0,96.0,0.0,37.0,59.0,0.0,96.0,1.5584268863782466e-05
litcur,コシャクシギ,Numenius minutus,Little Curlew,passage,P2,8.183958333333334e-05,0.001794,7.0,52.0,0.0,13.0,39.0,0.0,52.0,1.4220883258372455e-05
gbhgul2,オオズグロカモメ,Ichthyaetus ichthyaetus,Pallas's Gull,passage,P2,9.3425e-05,0.0015,9.0,97.0,0.0,73.0,24.0,0.0,97.0,1.4092619443193884e-05
wtrthr1,ヒメイソヒヨ,Monticola gularis,White-throated Rock-Thrush,passage,P2,4.30375e-05,0.0011016,5.0,69.0,18.0,35.0,34.0,12.0,69.0,6.9982552393904554e-06
